FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,2000000,N,146830000,복식부기,예산세출,94534000,98360000,42300000,61318000,80329000,S110000273,751234000,70939166.7,M100000001,12,N,청안중학교,,
사립,3,충청북도 증평군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,5000000,N,0,복식부기,예산세출,311815000,77972000,18802000,152150000,448962000,S110000277,2071344000,11387619.9,M100000001,12,N,형석중학교,중,3.0
사립,3,충청북도 영동군,충청북도영동교육지원청,충청북도교육청,M100000071,3000000,N,0,복식부기,예산세출,113061000,112642000,12771000,69710000,261624000,S110000483,978192000,55392857.1,M100000001,12,N,심천중학교,,
사립,3,충청북도 영동군,충청북도영동교육지원청,충청북도교육청,M100000071,5000000,N,481492000,복식부기,예산세출,190906000,182649000,29890000,168532000,486675000,S110000487,1964271000,16322860.5,M100000001,12,N,영신중학교,,
사립,3,충청북도 영동군,충청북도영동교육지원청,충청북도교육청,M100000071,2000000,N,0,복식부기,예산세출,77781000,96624000,46166000,59920000,138101000,S110000489,990445000,37132552.6,M100000001,12,N,정수중학교,,
사립,3,충청북도 영동군,충청북도영동교육지원청,충청북도교육청,M100000071,1217000,N,0,복식부기,예산세출,108566000,146520000,9232000,49636000,202499000,S110000490,981438000,31895914.9,M100000001,12,N,추풍령중학교,중,3.0
사립,3,충청북도 음성군,충청북도음성교육지원청,충청북도교육청,M100000083,0,N,0,복식부기,예산세출,157029000,126944000,10280000,77255000,188733000,S110000617,1099589000,22131066.7,M100000001,12,N,매괴여자중학교,,
사립,3,충청북도 음성군,충청북도음성교육지원청,충청북도교육청,M100000083,6824000,N,0,복식부기,예산세출,122968000,103034000,34016000,108061000,241595000,S110000620,1038730000,15615358.5,M100000001,12,N,생극중학교,중,3.0
사립,3,충청북도 음성군,충청북도음성교육지원청,충청북도교육청,M100000083,13000000,N,391941000,복식부기,예산세출,136830000,105216000,29636000,104579000,317990000,S110000623,1219313000,22293317.3,M100000001,12,N,한일중학교,,
사립,3,충청북도 제천시,충청북도제천교육지원청,충청북도교육청,M100000091,1500000,N,1200000,복식부기,예산세출,231503000,216500000,174486000,336589000,648151000,S110000665,3010588000,9334377.8,M100000001,12,N,대제중학교,,
사립,3,충청북도 청주시 상당구,충청북도청주교육지원청,충청북도교육청,M100000109,12000000,N,46399000,복식부기,예산세출,232686000,229791000,51320000,183439000,606852000,S110000895,2214846000,10775099.4,M100000001,12,N,대성여자중학교,,
사립,3,충청북도 청주시 흥덕구,충청북도청주교육지원청,충청북도교육청,M100000109,10000000,N,29200000,복식부기,예산세출,300697000,125572000,76718000,270645000,747162000,S110000896,2813497000,9425627.2,M100000001,12,N,대성중학교,중,3.0
사립,3,충청북도 청주시 서원구,충청북도청주교육지원청,충청북도교육청,M100000109,4100000,N,0,복식부기,예산세출,297464000,135208000,300232000,194200000,753410000,S110000902,3143368000,10472846.0,M100000001,12,N,세광중학교,,
사립,3,충청북도 청주시 서원구,충청북도청주교육지원청,충청북도교육청,M100000109,19028000,N,0,복식부기,예산세출,256037000,386351000,24889000,233210000,737493000,S110000906,2405492000,11574074.1,M100000001,12,N,운호중학교,,
사립,3,충청북도 청주시 상당구,충청북도청주교육지원청,충청북도교육청,M100000109,1000000,N,70460000,복식부기,예산세출,307289000,160297000,46036000,164707000,632047000,S110000909,2836608000,11401200.0,M100000001,12,N,일신여자중학교,,
사립,3,충청북도 청주시 서원구,충청북도청주교육지원청,충청북도교육청,M100000109,5001000,N,0,복식부기,예산세출,169111000,191521000,23700000,182199000,412442000,S110000923,2054016000,11047236.4,M100000001,12,N,충북여자중학교,,
사립,3,충청북도 충주시,충청북도충주교육지원청,충청북도교육청,M100000120,11800000,N,0,복식부기,예산세출,353626000,172147000,42660000,198383000,880881000,S110000981,3509382000,10421127.0,M100000001,12,N,충주미덕중학교,중,3.0
사립,3,충청북도 충주시,충청북도충주교육지원청,충청북도교육청,M100000120,1000000,N,0,복식부기,예산세출,125046000,126233000,37300000,45813000,815094000,S110000985,833683000,31494746.0,M100000001,12,N,신명중학교,,
사립,3,충청북도 충주시,충청북도충주교육지원청,충청북도교육청,M100000120,7000000,N,5420000,복식부기,예산세출,306453000,138691000,45806000,254796000,662934000,S110000991,3071409000,9187135.0,M100000001,12,N,충주북여자중학교,,
