FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,02,서울특별시 서초구,교육부,서울특별시교육청,A000000001,N,복식부기,결산세입,170643179,5587866,0,227659290,78631000,S000003511,982686800,A000000001,01,N,서울교육대학교부설초등학교,,,
국립,02,서울특별시 종로구,교육부,서울특별시교육청,A000000001,N,복식부기,결산세입,0,172000,0,406207460,908014950,S000003563,0,A000000001,01,N,서울대학교사범대학부설초등학교,초,2,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,169372092,2606649,0,178635650,0,S010000738,2041379960,B100000001,01,N,서울개일초등학교,초,2,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,132580225,2618962,0,210050690,4778230,S010000741,2573805600,B100000001,01,N,서울구룡초등학교,,,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,463675832,104757724,0,96156940,38964608,S010000742,2439373860,B100000001,01,N,서울논현초등학교,,,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,미지정,결산세입,393551407,12154525,0,497933273,3732650,S010000743,2775270503,B100000001,01,N,서울대곡초등학교,,,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,315516440,16191568,0,147780780,3899950,S010000744,3370125450,B100000001,01,N,서울대도초등학교,,,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,미지정,결산세입,208657542,25670328,0,284833860,7500000,S010000745,2313847110,B100000001,01,N,서울대모초등학교,초,2,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,179458751,5296561,0,172952430,11500000,S010000746,2361298300,B100000001,01,N,서울대왕초등학교,초,2,
공립,02,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,144772908,2472149,0,59286540,0,S010000747,1797820100,B100000001,01,N,서울대진초등학교,초,2,
