FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,강원특별자치도 춘천시,강원특별자치도교육청,강원특별자치도교육청,A000000001,6500000,N,0,복식부기,예산세출,608397000,163480000,322460000,290624000,869717000,S000003488,168225000,3475540.8,A000000001,11,일반고등학교,N,강원대학교사범대학부설고등학교,,고,4.0
공립,4,강원특별자치도 삼척시,강원특별자치도교육청,강원특별자치도교육청,K100000001,3000000,N,0,복식부기,예산세출,75400000,8690000,37500000,31013000,49846000,S100000350,3150000,26074875.0,K100000001,11,일반고등학교,N,가곡고등학교,,고,4.0
공립,4,강원특별자치도 화천군,강원특별자치도교육청,강원특별자치도교육청,K100000001,6000000,N,33000000,복식부기,예산세출,108436000,11982000,21180000,31254000,95106000,S100000351,5810000,6255360.0,K100000001,11,일반고등학교,N,간동고등학교,,고,4.0
공립,4,강원특별자치도 횡성군,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,0,복식부기,예산세출,66660000,17210000,67034000,48878000,70774000,S100000352,2200000,10490615.4,K100000001,11,일반고등학교,N,갑천고등학교,,,
공립,4,강원특별자치도 강릉시,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,0,복식부기,예산세출,297498000,41220000,370714000,134709000,485390000,S100000354,9150000,2624864.7,K100000001,11,일반고등학교,N,강릉고등학교,,고,4.0
공립,4,강원특별자치도 강릉시,강원특별자치도교육청,강원특별자치도교육청,K100000001,500000,N,50000000,복식부기,예산세출,662857000,81060000,191980000,284487000,613338000,S100000355,14020000,3508765.2,K100000001,11,특성화고등학교,N,강릉중앙고등학교,,고,4.0
공립,4,강원특별자치도 강릉시,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,0,복식부기,예산세출,451906000,32953000,244166000,209948000,542174000,S100000360,14360000,2145634.1,K100000001,11,일반고등학교,N,강릉여자고등학교,,고,4.0
공립,4,강원특별자치도 강릉시,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,21420000,복식부기,예산세출,421098000,58446000,91755000,138682000,267470000,S100000362,7440000,4413644.7,K100000001,11,특성화고등학교,N,강릉정보공업고등학교,,,
공립,4,강원특별자치도 강릉시,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,0,복식부기,예산세출,433221000,50610000,78300000,123960000,393102000,S100000363,8850000,2439558.3,K100000001,11,일반고등학교,N,강릉제일고등학교,,,
공립,4,강원특별자치도 원주시,강원특별자치도교육청,강원특별자치도교육청,K100000001,15000000,N,0,복식부기,예산세출,243603000,30942000,130394000,257856000,988279000,S100000365,13980000,10307079.8,K100000001,11,특수목적고등학교,N,강원과학고등학교,,,
공립,4,강원특별자치도 강릉시,강원특별자치도교육청,강원특별자치도교육청,K100000001,3100000,N,0,복식부기,예산세출,251497000,54129000,312382000,746578000,644149000,S100000368,9800000,11618592.0,K100000001,11,특수목적고등학교,N,강원예술고등학교,,,
공립,4,강원특별자치도 춘천시,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,0,복식부기,예산세출,505038000,42504000,930408000,48600000,1424410000,S100000370,12040000,14524509.8,K100000001,11,특수목적고등학교,N,강원체육고등학교,,,
공립,4,강원특별자치도 고성군,강원특별자치도교육청,강원특별자치도교육청,K100000001,2000000,N,0,복식부기,예산세출,231290000,12320000,25270000,37980000,83333000,S100000374,6450000,14237250.0,K100000001,11,특성화고등학교,N,거진고등학교,,고,4.0
