FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,경상남도 진주시,교육부,경상남도교육청,A000000001,0,N,4400000,복식부기,결산세출,342036430,276052250,64061190,305826700,1148762200,S000003495,133816690,5241832.9,A000000001,17,일반고등학교,N,경상국립대학교사범대학부설고등학교,,,
공립,4,경상남도 거창군,경상남도교육청,경상남도교육청,S100000001,6705450,N,48616860,복식부기,결산세출,228678480,313130010,121109270,103966360,403886870,S160000462,49557700,17966915.5,S100000001,17,특성화고등학교,N,거창승강기고등학교,,,
공립,4,경상남도 거제시,경상남도교육청,경상남도교육청,S100000001,0,N,340366060,미지정,결산세출,507958720,230511280,1593155940,304904890,1363431690,S160000465,60483520,9823241.3,S100000001,17,특수목적고등학교,N,거제공업고등학교,,고,4.0
공립,4,경상남도 거제시,경상남도교육청,경상남도교육청,S100000001,0,N,19000000,복식부기,결산세출,215357070,370759670,182475490,51925710,641526100,S160000467,33211610,10589200.3,S100000001,17,특성화고등학교,N,거제여자상업고등학교,,고,4.0
공립,4,경상남도 거제시,경상남도교육청,경상남도교육청,S100000001,0,N,17226000,복식부기,결산세출,318744140,357804920,67025850,202679400,1294807920,S160000468,67592710,3727373.3,S100000001,17,자율고등학교,N,거제제일고등학교,,,
공립,4,경상남도 거제시,경상남도교육청,경상남도교육청,S100000001,18957940,N,0,미지정,결산세출,413207110,405604250,267373180,1126305840,991151880,S160000469,63550570,8763068.7,S100000001,17,특성화고등학교,N,경남산업고등학교,,,
공립,4,경상남도 거제시,경상남도교육청,경상남도교육청,S100000001,0,N,116101460,복식부기,결산세출,398172430,557360370,142080870,317557560,1552091780,S160000470,89875670,3117131.8,S100000001,17,일반고등학교,N,거제중앙고등학교,,고,4.0
공립,4,경상남도 거창군,경상남도교육청,경상남도교육청,S100000001,1920000,N,377443340,복식부기,결산세출,243378000,270399370,80141090,204891350,494630930,S160000476,50845470,9317024.6,S100000001,17,일반고등학교,N,아림고등학교,,,
공립,4,경상남도 거창군,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,223104370,264652020,67727820,198372970,1003303320,S160000478,41493740,6686447.0,S100000001,17,일반고등학교,N,거창여자고등학교,,고,4.0
공립,4,경상남도 진주시,경상남도교육청,경상남도교육청,S100000001,0,N,77854000,미지정,결산세출,239118770,398812100,492733340,458105250,1496191890,S160000481,46339830,11974459.6,S100000001,17,특수목적고등학교,N,경남과학고등학교,,고,4.0
공립,4,경상남도 사천시,경상남도교육청,경상남도교육청,S100000001,21361140,N,1198275260,미지정,결산세출,273092110,234814940,253905980,913438950,927057550,S160000487,62628010,14494678.9,S100000001,17,특성화고등학교,N,경남자영고등학교,,,
공립,4,경상남도 진주시,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,263445140,921928630,399552750,189159460,498946480,S160000489,48522840,10093718.7,S100000001,17,특성화고등학교,N,경남정보고등학교,,고,4.0
공립,4,경상남도 진주시,경상남도교육청,경상남도교육청,S100000001,4327160,N,171132340,복식부기,결산세출,478286760,105905910,2118630420,44858150,1472295360,S160000490,44300850,18576305.2,S100000001,17,특수목적고등학교,N,경남체육고등학교,,고,4.0
공립,4,경상남도 고성군,경상남도교육청,경상남도교육청,S100000001,13284650,N,30000000,복식부기,결산세출,472715390,553053330,1241845210,167770610,1480686560,S160000491,51227420,9687399.0,S100000001,17,특성화고등학교,N,경남항공고등학교,,고,4.0
공립,4,경상남도 고성군,경상남도교육청,경상남도교육청,S100000001,0,N,84944000,복식부기,결산세출,336610060,243083510,24744360,212268720,976840310,S160000500,56178050,5844921.5,S100000001,17,일반고등학교,N,고성중앙고등학교,,고,4.0
공립,4,경상남도 사천시,경상남도교육청,경상남도교육청,S100000001,0,N,4670000,미지정,결산세출,133227920,84882640,63500260,39746560,232996270,S160000502,43708420,21526145.4,S100000001,17,일반고등학교,N,곤양고등학교,,,
공립,4,경상남도 하동군,경상남도교육청,경상남도교육청,S100000001,0,N,124195970,미지정,결산세출,244452910,108245250,61267480,151856070,798371000,S160000506,28723550,10114081.5,S100000001,17,일반고등학교,N,금남고등학교,,고,4.0
공립,4,경상남도 김해시,경상남도교육청,경상남도교육청,S100000001,0,N,54175000,복식부기,결산세출,372341680,594481750,180111070,321554420,1328566630,S160000508,66406970,4162107.7,S100000001,17,일반고등학교,N,김해가야고등학교,,고,4.0
공립,4,경상남도 김해시,경상남도교육청,경상남도교육청,S100000001,82251170,N,0,미지정,결산세출,664254580,392948910,1712383661,1059562250,1267528320,S160000509,74787220,7023684.6,S100000001,17,특성화고등학교,N,김해건설공업고등학교,,,
공립,4,경상남도 김해시,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,369099130,446172570,209609580,258232180,1218968310,S160000510,66682730,3857003.8,S100000001,17,일반고등학교,N,김해경원고등학교,,,
공립,4,경상남도 김해시,경상남도교육청,경상남도교육청,S100000001,34710,N,0,미지정,결산세출,386582500,607082840,274247030,175472090,1239064350,S160000511,67015410,4378183.0,S100000001,17,일반고등학교,N,김해고등학교,,,
공립,4,경상남도 김해시,경상남도교육청,경상남도교육청,S100000001,13940720,N,555938000,미지정,결산세출,459987350,1206546430,433776700,1050330800,880144900,S160000512,193667760,9784352.4,S100000001,17,특성화고등학교,N,김해생명과학고등학교,,,
공립,4,경상남도 김해시,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,414947770,352447738,160720490,306243752,1288500070,S160000513,74480060,3791737.1,S100000001,17,일반고등학교,N,김해여자고등학교,,,
공립,4,경상남도 남해군,경상남도교육청,경상남도교육청,S100000001,0,N,28149980,복식부기,결산세출,204892840,827318600,158062920,353518980,344780890,S160000523,17756740,29310317.4,S100000001,17,특성화고등학교,N,경남해양과학고등학교,,,
공립,4,경상남도 남해군,경상남도교육청,경상남도교육청,S100000001,6450450,N,15200000,복식부기,결산세출,213693390,354401090,206756440,46515980,329639040,S160000525,22237760,18670221.1,S100000001,17,특성화고등학교,N,남해정보산업고등학교,,고,4.0
공립,4,경상남도 남해군,경상남도교육청,경상남도교육청,S100000001,0,N,362346170,복식부기,결산세출,312280670,315564870,31333210,206365230,951289470,S160000526,52200680,6375372.3,S100000001,17,일반고등학교,N,남해제일고등학교,,,
공립,4,경상남도 산청군,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,189438330,153409490,25464950,103851330,521646850,S160000529,20825640,10460171.0,S100000001,17,일반고등학교,N,단성고등학교,,고,4.0
공립,4,경상남도 진주시,경상남도교육청,경상남도교육청,S100000001,0,N,10918640,복식부기,결산세출,164016290,133564260,23013920,74388220,184282120,S160000531,15047650,12104622.0,S100000001,17,일반고등학교,N,대곡고등학교,,고,4.0
공립,4,경상남도 산청군,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,111593900,192614460,15580800,75559700,391301650,S160000539,15553520,13831104.0,S100000001,17,일반고등학교,N,덕산고등학교,,,
공립,4,경상남도 창원시 마산합포구,경상남도교육청,경상남도교육청,S100000001,0,N,21953800,미지정,결산세출,380424350,374192520,206706790,121221620,782289820,S160000544,44565530,4533695.8,S100000001,17,일반고등학교,N,마산가포고등학교,,고,4.0
공립,4,경상남도 창원시 마산합포구,경상남도교육청,경상남도교육청,S100000001,0,N,438053700,미지정,결산세출,534671280,343899310,577134170,249642390,1194613910,S160000546,67318540,6377028.7,S100000001,17,일반고등학교,N,마산고등학교,,,
공립,4,경상남도 창원시 마산회원구,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,333317090,375691990,210567190,262876420,858955900,S160000549,55158850,4732657.9,S100000001,17,일반고등학교,N,마산구암고등학교,,,
공립,4,경상남도 창원시 마산합포구,경상남도교육청,경상남도교육청,S100000001,60000,N,0,미지정,결산세출,372787560,1715629500,79774240,264628740,1007467970,S160000553,50778760,6574626.7,S100000001,17,일반고등학교,N,마산여자고등학교,,고,4.0
공립,4,경상남도 창원시 마산합포구,경상남도교육청,경상남도교육청,S100000001,0,N,42383840,복식부기,결산세출,377995030,437119840,557752670,235627640,1070004980,S160000556,50679770,5762086.8,S100000001,17,일반고등학교,N,마산용마고등학교,,,
공립,4,경상남도 진주시,경상남도교육청,경상남도교육청,S100000001,0,N,18612000,복식부기,결산세출,392275870,395997570,135582130,178994280,1109352490,S160000563,91659650,3788701.5,S100000001,17,일반고등학교,N,명신고등학교,,,
공립,4,경상남도 밀양시,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,335349710,156936260,153112030,216618580,1305443660,S160000568,47581620,4502117.6,S100000001,17,일반고등학교,N,밀양고등학교,,고,4.0
