SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,경상남도 진주시,3.0,진주교육지원청,경상남도교육청,A000000001,2000000,N,5000000,복식부기,예산세출,311149000,153956000,61269000,265623000,843473000,S000003605,203370000,3584155.3,A000000001,17,N,경상국립대학교사범대학부설중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,5000000,N,0,복식부기,예산세출,406251000,211205000,88424000,359539000,1313405000,S160000750,18617000,2717693.4,S100000001,17,N,거제고현중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,1000000,N,0,복식부기,예산세출,186264000,139466000,24720000,180352000,443576000,S160000752,9802000,5934819.3,S100000001,17,N,거제제일중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,8000000,N,20000000,복식부기,예산세출,419221000,205057000,146664000,368345000,1497076000,S160000753,14930000,2556577.3,S100000001,17,N,거제중앙중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,5000000,N,0,복식부기,예산세출,176852000,135753000,25290000,94770000,384162000,S160000756,36386000,7946416.7,S100000001,17,N,성포중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,3000000,N,0,복식부기,예산세출,180556000,77256000,19174000,35913000,247255000,S160000757,8979000,13305418.6,S100000001,17,N,동부중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,2000000,N,0,복식부기,예산세출,318198000,185673000,93688000,228449000,1051983000,S160000759,19420000,2818117.2,S100000001,17,N,신현중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,1000000,N,0,복식부기,예산세출,196194000,172206000,26670000,141567000,369628000,S160000760,10235000,7582644.6,S100000001,17,N,연초중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,3000000,N,0,복식부기,예산세출,386953000,128934000,46645000,338257000,1206537000,S160000761,17408000,2763290.9,S100000001,17,N,옥포중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,5972000,N,0,복식부기,예산세출,189270000,178544000,30180000,152910000,406532000,S160000764,6490000,6339202.6,S100000001,17,N,지세포중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,1000000,N,0,복식부기,예산세출,170212000,110186000,23459000,61281000,125348000,S160000765,8182000,7931238.1,S100000001,17,N,하청중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,2270000,N,0,복식부기,예산세출,77802000,102917000,60525000,55426000,93196000,S160000909,43072000,12089111.1,S100000001,17,N,가조중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,1700000,N,0,복식부기,예산세출,277241000,132433000,32885000,191533000,683620000,S160000912,52116000,4541483.4,S100000001,17,N,거창여자중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,2596000,N,0,복식부기,예산세출,301228000,146095000,174504000,218996000,774622000,S160000913,49852000,5450630.7,S100000001,17,N,거창중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,0,Y,0,복식부기,,0,0,0,0,0,S160000914,0,,S100000001,17,Y,거창중학교고제분교장,본교통합작성
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,1000000,N,0,복식부기,예산세출,86957000,134402000,30133000,44854000,78937000,S160000920,46186000,21123450.0,S100000001,17,N,웅양중학교,
중,공립,3,경상남도 고성군,3.0,고성교육지원청,경상남도교육청,S100000137,1000000,N,0,복식부기,예산세출,137189000,194846000,29360000,71086000,273561000,S160001022,7990000,10070873.2,S100000001,17,N,고성동중학교,
,공립,3,경상남도 고성군,,고성교육지원청,경상남도교육청,S100000137,3000000,N,10100000,복식부기,예산세출,298341000,138580000,94647000,180880000,800842000,S160001023,20666000,4114510.6,S100000001,17,N,고성여자중학교,
중,공립,3,경상남도 고성군,3.0,고성교육지원청,경상남도교육청,S100000137,2000000,N,0,복식부기,예산세출,224751000,186152000,193202000,239788000,637863000,S160001024,16500000,6466620.7,S100000001,17,N,고성중학교,
,공립,3,경상남도 고성군,,고성교육지원청,경상남도교육청,S100000137,1000000,N,0,복식부기,예산세출,102960000,63979000,50910000,127071000,93794000,S160001027,42455000,16626517.2,S100000001,17,N,동해중학교,
,공립,3,경상남도 고성군,,고성교육지원청,경상남도교육청,S100000137,2000000,N,0,복식부기,예산세출,121635000,80115000,25052000,67624000,174416000,S160001030,14618000,23117142.9,S100000001,17,N,영천중학교,
중,공립,3,경상남도 고성군,3.0,고성교육지원청,경상남도교육청,S100000137,1000000,N,0,복식부기,예산세출,141359000,167891000,25593000,137707000,298374000,S160001035,10174000,11015464.8,S100000001,17,N,회화중학교,
,공립,3,경상남도 김해시,,김해교육지원청,경상남도교육청,S100000152,2000000,N,0,복식부기,예산세출,430612000,81007000,35355000,202471000,969258000,S160001135,11256000,3070849.3,S100000001,17,N,가야중학교,
중,공립,3,경상남도 김해시,3.0,김해교육지원청,경상남도교육청,S100000152,5000000,N,0,복식부기,예산세출,398104000,207451000,135652000,234622000,1526177000,S160001136,9740000,3663385.7,S100000001,17,N,경운중학교,
,공립,3,경상남도 김해시,,김해교육지원청,경상남도교육청,S100000152,1500000,N,0,복식부기,예산세출,213822000,113757000,20360000,51530000,266995000,S160001137,47831000,14315900.0,S100000001,17,N,김해대동중학교,
중,공립,3,경상남도 김해시,3.0,김해교육지원청,경상남도교육청,S100000152,6100000,N,0,복식부기,예산세출,318406000,182696000,112015000,271083000,1195018000,S160001138,13050000,3076785.9,S100000001,17,N,김해서중학교,
,공립,3,경상남도 김해시,,김해교육지원청,경상남도교육청,S100000152,3010000,N,0,복식부기,예산세출,261389000,170982000,122128000,89536000,300920000,S160001139,12182000,8973336.4,S100000001,17,N,김해여자중학교,
,공립,3,경상남도 김해시,,김해교육지원청,경상남도교육청,S100000152,1550000,N,0,복식부기,예산세출,286081000,138528000,111369000,80559000,347901000,S160001141,40592000,7347299.3,S100000001,17,N,김해중학교,
