FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,경상북도 구미시,교육부,경상북도교육청,A000000001,0,N,791891990,미지정,결산세출,1429201057,809415760,1236968465,1132283395,2295071800,S000003539,718839183,10898538.4,A000000001,16,특수목적고등학교,N,구미전자공업고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,15570000,N,27593590,미지정,결산세출,141842260,122646360,98543690,56943630,171106320,S150000712,11273000,11736706.4,R100000001,16,일반고등학교,N,가은고등학교,,,
공립,4,경상북도 예천군,경상북도교육청,경상북도교육청,R100000001,159051530,N,0,복식부기,결산세출,343562550,338508030,124557110,154701370,1928435200,S150000714,54988690,5900769.0,R100000001,16,일반고등학교,N,경북일고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,360154340,N,0,복식부기,결산세출,318477610,156946190,970238518,204837332,772107095,S150000715,213733210,26754413.3,R100000001,16,특수목적고등학교,N,한국국제통상마이스터고등학교,,고,4.0
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,4288000,N,120266220,복식부기,결산세출,179324750,99806130,249584490,48417300,119240600,S150000716,14818060,21993303.9,R100000001,16,특성화고등학교,N,강구정보고등학교,,고,4.0
공립,4,경상북도 포항시 남구,경상북도교육청,경상북도교육청,R100000001,76206920,N,0,복식부기,결산세출,371000106,101113790,110429050,672606434,685592856,S150000719,23349375,18216951.2,R100000001,16,특수목적고등학교,N,경북과학고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,211625130,N,8276100,미지정,결산세출,425279560,316260140,858062113,660387171,1256317400,S150000720,49534670,10429042.1,R100000001,16,특성화고등학교,N,경북생활과학고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,123541580,N,211501700,복식부기,결산세출,437241210,478692010,152495190,430393171,1693341670,S150000721,34623000,10696184.8,R100000001,16,특수목적고등학교,N,경북외국어고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,137721580,N,0,복식부기,결산세출,832458714,337082040,2820150144,50074290,1310381836,S150000723,27120600,25770977.6,R100000001,16,특수목적고등학교,N,경북체육고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,170223980,N,203037130,복식부기,결산세출,454969495,771513610,326659230,217529790,1753114805,S150000724,57777050,5116203.2,R100000001,16,자율고등학교,N,경산고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,285293773,N,69481400,복식부기,결산세출,412316907,947869757,1224955380,383991480,1026282435,S150000729,37675190,12905489.2,R100000001,16,특성화고등학교,N,경북기계금속고등학교,,고,4.0
