SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,국립,3,광주광역시 북구,,교육부,광주광역시교육청,A000000001,N,복식부기,결산세입,107575109,2725472,0,71744600,565300000,S000003517,898956580,A000000001,5,N,전남대학교사범대학부설중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,9777484,3839190,0,49949370,0,S050000169,853508720,F100000001,5,N,각화중학교,
,공립,3,광주광역시 동구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,9748000,7243530,0,91672540,1000000,S050000175,1316738580,F100000001,5,N,무등중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,14845625,6700054,0,19447120,23864380,S050000176,1265928140,F100000001,5,N,광주북성중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,6546856,13692185,0,117220790,35576752,S050000182,3616892580,F100000001,5,N,광주체육중학교,
,공립,3,광주광역시 동구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,15551611,6058631,0,65199937,0,S050000183,900352190,F100000001,5,N,광주충장중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,10963137,4381188,0,59160890,0,S050000185,1178443520,F100000001,5,N,두암중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,13510301,3707940,0,106939252,430000,S050000186,1262817350,F100000001,5,N,문산중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,14835335,4138450,0,42399070,7000000,S050000188,901208070,F100000001,5,N,문화중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,13461810,11446295,0,98184100,25500010,S050000189,1247114630,F100000001,5,N,문흥중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,13557943,6536137,0,37589730,2000000,S050000195,1400457674,F100000001,5,N,신광중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,17087848,5622581,0,133105140,0,S050000196,1319522410,F100000001,5,N,양산중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,12904520,8822389,0,64154300,6805790,S050000197,1111625230,F100000001,5,N,용봉중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,8361487,2810470,0,69240580,0,S050000198,1069539480,F100000001,5,N,우산중학교,
중,공립,3,광주광역시 동구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,11612571,3761621,0,39421710,0,S050000199,919809360,F100000001,5,N,운림중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,32857710,9382720,0,110243170,5189000,S050000200,1441250100,F100000001,5,N,운암중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,9612412,24400422,0,68740500,5200000,S050000201,1510835120,F100000001,5,N,일곡중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,22242898,2459242,0,123801880,201764,S050000202,1119743020,F100000001,5,N,일동중학교,
