FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,대구광역시 중구,교육부,대구광역시교육청,A000000001,0,N,15900000,복식부기,예산세출,433320000,147042000,398920000,422843000,694080000,S000003493,63300000,4191531.8,A000000001,3,N,경북대학교사범대학부설초등학교,,,
국립,2,대구광역시 달서구,교육부,대구광역시교육청,A000000001,5000000,N,68200000,복식부기,예산세출,284756000,175665000,330760000,425161000,501423000,S000003506,56104000,4483177.2,A000000001,3,N,대구교육대학교대구부설초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,1000000,N,9450000,복식부기,예산세출,129348000,93088000,80035000,81953000,62325000,S030000406,10665000,2217364.9,D100000001,3,N,남대구초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,155706000,73199000,167633000,84830000,87662000,S030000407,6690000,2214307.7,D100000001,3,N,대구감삼초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,1000000,N,0,복식부기,예산세출,180198000,46051000,119388000,100688000,72367000,S030000408,15160000,1930873.6,D100000001,3,N,대구감천초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,1000000,N,0,복식부기,예산세출,151776000,107615000,145680000,68865000,85444000,S030000409,4360000,2258960.0,D100000001,3,N,대구남덕초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,155385000,45568000,360040000,129028000,125723000,S030000410,16785000,1610307.5,D100000001,3,N,대구남도초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,500000,N,0,복식부기,예산세출,148762000,73682000,96572000,79087000,74624000,S030000411,10514000,2862372.8,D100000001,3,N,대구남명초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,176222000,90180000,105255000,86615000,93440000,S030000412,8175000,1696627.3,D100000001,3,N,대구남부초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,3000000,N,20000000,복식부기,예산세출,139592000,43933000,83700000,85560000,91465000,S030000413,7145000,1652944.3,D100000001,3,N,대구남송초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,500000,N,3000000,복식부기,예산세출,167802000,87188000,221631000,101636000,119526000,S030000414,7235000,1585051.5,D100000001,3,N,대구내당초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,2000000,N,0,복식부기,예산세출,179298000,38844000,261158000,121571000,91987000,S030000415,8695000,1711807.8,D100000001,3,N,대구노전초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,6000000,복식부기,예산세출,148210000,54832000,227626000,120537000,96595000,S030000416,6941000,1573192.9,D100000001,3,N,대구대곡초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,180987000,49576000,91629000,97800000,88665000,S030000417,11510000,1379753.3,D100000001,3,N,대구대남초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,147686000,47568000,156334000,99198000,74419000,S030000418,6201000,2382986.5,D100000001,3,N,대구대덕초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,3000000,N,0,복식부기,예산세출,199472000,68711000,218009000,113439000,106758000,S030000419,9335000,1306770.9,D100000001,3,N,대구대명초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,98581000,복식부기,예산세출,176173000,78358000,363439000,117752000,106920000,S030000420,6540000,1986924.5,D100000001,3,N,대구대봉초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,7723000,N,0,복식부기,예산세출,151895000,59694000,315816000,102364000,95461000,S030000421,10730000,1472639.6,D100000001,3,N,대구대서초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,500000,N,0,복식부기,예산세출,178613000,56635000,252046000,100696000,110581000,S030000422,4749000,1592352.9,D100000001,3,N,대구대진초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,179428000,52720000,211100000,109100000,134162000,S030000423,13780000,2041661.8,D100000001,3,N,대구덕인초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,169354000,64928000,110020000,99780000,109675000,S030000424,7775000,1517654.1,D100000001,3,N,대구도원초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,1700000,N,6200000,복식부기,예산세출,222815000,83186000,706481000,231348000,183682000,S030000425,10770000,1239230.5,D100000001,3,N,대구본리초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,3000000,N,0,복식부기,예산세출,179244000,43681000,271635000,156849000,162719000,S030000426,16120000,1178568.6,D100000001,3,N,대구봉덕초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,128852000,73808000,180210000,84756000,85774000,S030000427,6100000,1977031.8,D100000001,3,N,대구상원초등학교,,,
