SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,26135990,4138780,0,53945850,2900000,S060000249,2008024080,G100000001,6,N,대전가양중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,14192130,9115390,0,44604430,1200000,S060000250,1770253880,G100000001,6,N,대전가오중학교,
중,공립,3,대전광역시 중구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,8679030,3176780,0,25262520,100360,S060000251,940148050,G100000001,6,N,대전대문중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,31135950,8209590,0,32849800,9105238,S060000252,1275181460,G100000001,6,N,대전대화중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,33598470,10125040,0,65836800,4780000,S060000255,2094353420,G100000001,6,N,대전매봉중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,21703930,31758940,0,38420100,4920000,S060000256,1293071540,G100000001,6,N,대전문화여자중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,27231840,4818710,0,46311610,5900000,S060000257,1645153320,G100000001,6,N,대전법동중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,30861810,22019220,0,65548210,2300000,S060000258,2286173630,G100000001,6,N,대전송촌중학교,
중,공립,3,대전광역시 중구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,26135380,34436420,0,49154710,100000,S060000259,1665086100,G100000001,6,N,대전여자중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,19937380,1786850,0,62695220,1160000,S060000260,1109310740,G100000001,6,N,오정중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,15105960,2038760,0,33668720,1120000,S060000261,1352916740,G100000001,6,N,대전용운중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,24693760,2969090,0,45723820,800000,S060000262,1738013020,G100000001,6,N,대전용전중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,16384580,8227070,0,40397700,1374450,S060000263,1215253350,G100000001,6,N,중리중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,24574998,4605370,0,90580020,5120000,S060000266,1682293850,G100000001,6,N,대전중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,28754450,7482780,0,57452230,220000,S060000267,1539343870,G100000001,6,N,대전태평중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,26763750,2477290,0,37212580,220000,S060000268,1153957910,G100000001,6,N,동대전중학교,
,공립,3,대전광역시 동구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,17563360,3640740,0,29726480,3800000,S060000270,1248806780,G100000001,6,N,동신중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,22109740,3482960,0,24019610,20100000,S060000273,1198737930,G100000001,6,N,신탄중앙중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,36314890,83393280,0,89303350,4180000,S060000276,2511229080,G100000001,6,N,충남여자중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,71589830,15057460,0,300452950,25900000,S060000277,2375662450,G100000001,6,N,충남중학교,
,공립,3,대전광역시 동구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,19839440,5865850,0,51282690,14475000,S060000278,1560833420,G100000001,6,N,한밭여자중학교,
,공립,3,대전광역시 동구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,미지정,결산세입,21413500,12882730,0,318171690,6320000,S060000279,1182404330,G100000001,6,N,한밭중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,결산세입,10598770,8256190,0,24124170,300000,S060000281,963025830,G100000001,6,N,회덕중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,16007940,4552960,0,27779960,600000,S060000447,1082935560,G100000001,6,N,가수원중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,17491560,11418650,0,29917000,0,S060000448,1067106030,G100000001,6,N,갈마중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,17086340,5119130,0,17927200,1000000,S060000449,588429500,G100000001,6,N,기성중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,17782790,6959380,0,61888860,200000,S060000450,1837125980,G100000001,6,N,대덕중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,24737500,22498980,0,71948260,1300000,S060000451,2035232400,G100000001,6,N,대전갑천중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,14461410,63995510,0,61808390,2680000,S060000452,1887077100,G100000001,6,N,대전관저중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,20437360,34444280,0,37078470,8060000,S060000453,1213881630,G100000001,6,N,대전남선중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,21993030,4810370,0,54698120,3036000,S060000454,1592524190,G100000001,6,N,대전내동중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,26707450,25844800,0,83734700,780000,S060000455,2177453960,G100000001,6,N,대전노은중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,20893010,10382720,0,38503090,500000,S060000457,1216412530,G100000001,6,N,대전도마중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,17713180,42101660,0,54497700,4020000,S060000458,2079990600,G100000001,6,N,대전둔산중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,21379060,15397210,0,56628560,3740000,S060000459,1725690330,G100000001,6,N,대전둔원중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,16317650,54421970,0,48077180,3240000,S060000460,1506543900,G100000001,6,N,대전만년중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,24333220,30504490,0,113494230,2620000,S060000461,3008772740,G100000001,6,N,대전문정중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,21162120,1398990,0,37514770,400000,S060000462,1127373100,G100000001,6,N,대전문지중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,31859420,38222900,0,60901150,1240000,S060000463,2205188710,G100000001,6,N,대전버드내중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,22243590,6915740,0,36018850,1352000,S060000464,1411070300,G100000001,6,N,대전변동중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,19628270,5009330,0,42664250,860000,S060000465,1286884400,G100000001,6,N,대전봉산중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,21588600,8871640,0,54635990,1740000,S060000466,1871502700,G100000001,6,N,대전봉우중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,22871480,53572570,0,92934300,11280000,S060000469,2437320410,G100000001,6,N,대전삼천중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,13703700,7681590,0,37920250,440000,S060000470,1193240230,G100000001,6,N,대전서중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,15358440,11183190,0,53098580,7220000,S060000471,1485817990,G100000001,6,N,대전송강중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,결산세입,26504940,4606500,0,60794880,600000,S060000472,1431803240,G100000001,6,N,대전어은중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,19186950,7201390,0,28505420,9219000,S060000473,1150019000,G100000001,6,N,대전월평중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,미지정,결산세입,23702310,3623960,0,62130790,640000,S060000475,1756718420,G100000001,6,N,대전전민중학교,
