SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,12310010,N,0,미지정,결산세출,316897800,488095560,86024910,219739070,894780950,S060000249,53175450,3072735.5,G100000001,6,N,대전가양중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,11603450,N,0,미지정,결산세출,285566170,337965310,148797610,188237710,801651610,S060000250,44981510,3072303.0,G100000001,6,N,대전가오중학교,
중,공립,3,대전광역시 중구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,1240040,N,0,미지정,결산세출,198585850,201614780,36000500,164438280,348028190,S060000251,23144410,8316684.2,G100000001,6,N,대전대문중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,3765630,N,0,복식부기,결산세출,268138280,270879868,105816320,181644160,476705550,S060000252,42859610,4962534.6,G100000001,6,N,대전대화중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,12762680,N,0,미지정,결산세출,280621870,437661020,191470010,220431230,976094970,S060000255,65530990,2751351.1,G100000001,6,N,대전매봉중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,2033330,N,0,복식부기,결산세출,322898910,289118350,69944140,165964910,498829100,S060000256,32431280,5902649.7,G100000001,6,N,대전문화여자중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,8524730,N,0,미지정,결산세출,276584560,275737280,130862850,243267840,736439270,S060000257,48783020,3583749.1,G100000001,6,N,대전법동중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,14268570,N,0,복식부기,결산세출,406251750,363799300,130782260,353954820,1046590360,S060000258,68575210,3128900.6,G100000001,6,N,대전송촌중학교,
중,공립,3,대전광역시 중구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,8224000,N,0,복식부기,결산세출,360539850,271875900,52833110,224151710,797659620,S060000259,45727260,3399636.0,G100000001,6,N,대전여자중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,1140170,N,0,미지정,결산세출,237471520,258903780,183480290,125526660,343039120,S060000260,34594830,10668075.4,G100000001,6,N,오정중학교,
