FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,서울특별시 강남구,교육부,서울특별시교육청,A000000001,0,N,0,복식부기,예산세출,54873000,58910000,919640000,620330000,841082000,S000003540,54701000,5847559.6,A000000001,1,특수목적고등학교,N,국립국악고등학교,,,
국립,4,서울특별시 성북구,교육부,서울특별시교육청,A000000001,0,Y,0,복식부기,,0,0,0,0,0,S000003561,0,,A000000001,1,일반고등학교,N,서울대학교사범대학부설고등학교,국립서울대학교 소속 법인회계 사용으로 제외처리함,,
국립,4,서울특별시 금천구,교육부,서울특별시교육청,A000000001,0,N,2936000,복식부기,예산세출,81621000,49808000,1107700000,105785000,1297620000,S000005401,51173000,5205874.5,A000000001,1,특수목적고등학교,N,국립전통예술고등학교,,고,4.0
공립,4,서울특별시 송파구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,521133000,144819000,21164000,175604000,126477000,S010000370,11450000,1308035.3,B100000001,1,일반고등학교,N,가락고등학교,,,
공립,4,서울특별시 강남구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,419810000,82061000,23790000,158152000,169557000,S010000373,13000000,1250173.2,B100000001,1,일반고등학교,N,개포고등학교,,고,4.0
공립,4,서울특별시 강남구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,768711000,134731000,31460000,209113000,165070000,S010000375,24423000,1254476.0,B100000001,1,일반고등학교,N,경기고등학교,,,
공립,4,서울특별시 강남구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,595592000,156080000,37620000,436088000,343044000,S010000376,10610000,1443358.3,B100000001,1,일반고등학교,N,경기여자고등학교,,고,4.0
공립,4,서울특별시 성북구,서울특별시교육청,서울특별시교육청,B100000001,10000000,N,0,복식부기,예산세출,441134000,237563000,25417000,99447000,95158000,S010000377,9289000,1693741.7,B100000001,1,일반고등학교,N,경동고등학교,,고,4.0
공립,4,서울특별시 종로구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,499642000,133054000,38825000,160105000,96657000,S010000379,14248000,1600222.4,B100000001,1,일반고등학교,N,경복고등학교,,,
공립,4,서울특별시 구로구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,498300000,145964000,147620000,104190000,285611000,S010000383,19641000,1097101.4,B100000001,1,일반고등학교,N,경인고등학교,,,
공립,4,서울특별시 구로구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,412154000,76273000,31003000,189370000,187504000,S010000388,42193000,1246344.0,B100000001,1,일반고등학교,N,고척고등학교,,고,4.0
공립,4,서울특별시 강서구,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,10000000,복식부기,예산세출,410054000,196487000,30300000,105510000,244991000,S010000389,15250000,1571460.5,B100000001,1,일반고등학교,N,공항고등학교,,,
공립,4,서울특별시 영등포구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,407779000,271264000,39430000,69110000,107640000,S010000390,20770000,1236157.9,B100000001,1,일반고등학교,N,관악고등학교,,,
공립,4,서울특별시 광진구,서울특별시교육청,서울특별시교육청,B100000001,0,N,42061000,복식부기,예산세출,491432000,173811000,27200000,213131000,262517000,S010000391,15880000,1157726.2,B100000001,1,일반고등학교,N,광남고등학교,,,
공립,4,서울특별시 광진구,서울특별시교육청,서울특별시교육청,B100000001,0,N,20000000,복식부기,예산세출,375109000,248350000,33820000,41330000,119264000,S010000395,1000000,1698123.5,B100000001,1,일반고등학교,N,광양고등학교,,,
공립,4,서울특별시 구로구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,420280000,117158000,44405000,201156000,135678000,S010000398,19199000,1005226.2,B100000001,1,일반고등학교,N,구로고등학교,,,
공립,4,서울특별시 구로구,서울특별시교육청,서울특별시교육청,B100000001,500000,N,0,복식부기,예산세출,445485000,92546000,13042000,185190000,171979000,S010000399,22885000,1264080.1,B100000001,1,일반고등학교,N,구일고등학교,,,
공립,4,서울특별시 강남구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,474514000,89297000,107800000,22925000,90845000,S010000400,8760000,1462506.4,B100000001,1,일반고등학교,N,압구정고등학교,,고,4.0
공립,4,서울특별시 양천구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,357281000,203975000,27815000,123928000,127540000,S010000401,11030000,1157023.1,B100000001,1,일반고등학교,N,금옥여자고등학교,,,
공립,4,서울특별시 금천구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,441978000,235234000,25966000,59430000,94410000,S010000402,11880000,1262933.1,B100000001,1,일반고등학교,N,금천고등학교,,고,4.0
공립,4,서울특별시 노원구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,306720000,111440000,32112000,246500000,107084000,S010000404,13070000,1438250.0,B100000001,1,일반고등학교,N,노원고등학교,,고,4.0
공립,4,서울특별시 관악구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,484428000,208745000,22699000,40920000,117580000,S010000406,23580000,1213448.6,B100000001,1,일반고등학교,N,당곡고등학교,,고,4.0
공립,4,서울특별시 영등포구,서울특별시교육청,서울특별시교육청,B100000001,3362000,N,0,복식부기,예산세출,440797000,90244000,26297000,250546000,153740000,S010000410,16976000,1300611.9,B100000001,1,일반고등학교,N,대영고등학교,,,
공립,4,서울특별시 금천구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,469610000,159252000,31800000,158931000,153416000,S010000419,8300000,1646491.6,B100000001,1,일반고등학교,N,독산고등학교,,,
공립,4,서울특별시 동작구,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,0,복식부기,예산세출,437766000,215565000,62800000,87849000,122099000,S010000427,12912000,1316514.0,B100000001,1,일반고등학교,N,동작고등학교,,고,4.0
공립,4,서울특별시 강동구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,452781000,91024000,18400000,190221000,109430000,S010000428,4780000,1295420.0,B100000001,1,일반고등학교,N,둔촌고등학교,,고,4.0
공립,4,서울특별시 중랑구,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,378372000,218021000,21597000,106820000,182344000,S010000430,9100000,1492270.4,B100000001,1,일반고등학교,N,면목고등학교,,고,4.0
