SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,서울특별시 성북구,3.0,교육부,서울특별시교육청,A000000001,N,복식부기,결산세입,0,9570000,0,219113992,1334302722,S000003514,0,A000000001,1,N,서울대학교사범대학부설중학교,
,국립,3,서울특별시 종로구,,교육부,서울특별시교육청,A000000001,N,복식부기,결산세입,0,0,0,104039506,928694237,S000003562,0,A000000001,1,N,서울대학교사범대학부설여자중학교,
중,공립,3,서울특별시 강남구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,321507622,94088072,0,459630970,10250000,S010000698,3298023430,B100000001,1,N,개원중학교,
중,공립,3,서울특별시 서초구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,513307278,95952868,0,491447070,2000000,S010000700,3012334810,B100000001,1,N,경원중학교,
중,공립,3,서울특별시 강남구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,594139896,14673179,0,99371500,220000,S010000701,2933567050,B100000001,1,N,구룡중학교,
,공립,3,서울특별시 강남구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,317502081,19367704,0,135893900,0,S010000702,2686941570,B100000001,1,N,압구정중학교,
중,공립,3,서울특별시 강남구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,570551918,8711515,0,177669280,2713000,S010000705,3277349670,B100000001,1,N,대명중학교,
중,공립,3,서울특별시 강남구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,368545109,94514683,0,124570290,0,S010000706,2962515754,B100000001,1,N,대왕중학교,
중,공립,3,서울특별시 강남구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,506003086,58934740,0,146794470,19370000,S010000707,3154560910,B100000001,1,N,대청중학교,
,공립,3,서울특별시 강남구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,397642426,50982430,0,571311640,0,S010000708,2184735610,B100000001,1,N,대치중학교,
중,공립,3,서울특별시 강남구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,398799524,46225120,0,124264150,0,S010000709,2412210740,B100000001,1,N,도곡중학교,
중,공립,3,서울특별시 서초구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,미지정,결산세입,67502369,65319702,0,103930730,0,S010000711,1743848710,B100000001,1,N,반포중학교,
,공립,3,서울특별시 서초구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,627625208,128352680,0,88667460,12850000,S010000712,2824321480,B100000001,1,N,방배중학교,
,공립,3,서울특별시 강남구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,220558439,26629960,0,79509340,525000,S010000713,2056571010,B100000001,1,N,봉은중학교,
,공립,3,서울특별시 서초구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,484749217,70107138,0,212562250,8437000,S010000715,3252755720,B100000001,1,N,서운중학교,
,공립,3,서울특별시 서초구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,320968827,135692420,0,167191920,2643870,S010000716,2731142570,B100000001,1,N,서일중학교,
중,공립,3,서울특별시 서초구,3.0,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,304122104,54284102,0,160645760,1400000,S010000717,2467138450,B100000001,1,N,서초중학교,
,공립,3,서울특별시 강남구,,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,결산세입,402549618,25506144,0,70569600,0,S010000719,2275658980,B100000001,1,N,수서중학교,
