SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,미지정,결산세출,105694290,77603270,46168120,52250160,129458430,S080000060,7504220,8544459.0,I100000001,8,N,장기중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,11769420,N,0,복식부기,결산세출,241838700,78948760,60053620,116053230,563164640,S080000061,7239940,2162461.5,I100000001,8,N,금호중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,121679920,158087470,25739940,32905030,100259090,S080000062,2277540,18372874.6,I100000001,8,N,연동중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,119643850,111947960,97420800,139799080,237396170,S080000063,18811980,5215970.1,I100000001,8,N,연서중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,137271950,86344920,77194190,156117880,336744440,S080000064,52635250,7295764.1,I100000001,8,N,전의중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,미지정,결산세출,463414720,710433280,155228260,236810760,361596780,S080000065,1970000,3527337.8,I100000001,8,N,세종중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,548952640,복식부기,결산세출,272583598,260847136,162224670,288489914,420009160,S080000066,12217300,3000495.3,I100000001,8,N,조치원중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,336470077,232571663,124155760,358044480,473792470,S080000067,66121510,1841615.7,I100000001,8,N,한솔중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,127433810,복식부기,결산세출,151076440,57918170,95576910,64742010,162374260,S080000073,44306260,6280605.9,I100000001,8,N,부강중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,18600000,복식부기,결산세출,280838580,248907450,110328900,236206050,595731490,S080000108,21382170,1538143.1,I100000001,8,N,아름중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,미지정,결산세출,338297220,341634040,91943890,234333890,494781170,S080000118,6086390,1833426.5,I100000001,8,N,도담중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,236459700,274693060,128973090,346777260,388454970,S080000123,12523620,1763509.1,I100000001,8,N,새롬중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,26606350,미지정,결산세출,337065390,209712460,173332010,310016840,402053360,S080000138,113567620,1739329.7,I100000001,8,N,고운중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,미지정,결산세출,278562760,324788910,137345250,317764510,460141700,S080000139,16616840,1577821.1,I100000001,8,N,종촌중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,281549000,269115480,129834650,247502320,344376230,S080000140,180617570,1534313.9,I100000001,8,N,두루중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,327257970,310879956,171475050,228965241,348059850,S080000146,7238840,1626460.8,I100000001,8,N,양지중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,167524410,232738788,65204100,213267302,243843560,S080000152,3375800,2660787.2,I100000001,8,N,어진중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,201259040,87436610,88590690,187817230,223642490,S080000163,5272500,1696620.9,I100000001,8,N,소담중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,222727990,138283530,78652900,236771210,288124480,S080000164,15525510,1482731.6,I100000001,8,N,새뜸중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,221054530,189907860,103511190,170181100,233658080,S080000165,4373830,1686812.8,I100000001,8,N,새움중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,163618510,225946290,72459870,87075110,204070660,S080000182,4439770,2459773.4,I100000001,8,N,글벗중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,244004440,130579800,140746960,321007910,325226050,S080000183,4808470,1595586.4,I100000001,8,N,보람중학교,
중,공립,3,세종특별자치시 ,3.0,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,미지정,결산세출,182523200,412063550,88872010,123466006,176551090,S080000202,2043030,8644902.5,I100000001,8,N,나성중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,복식부기,결산세출,198459130,244770550,62252110,150515370,189483830,S080000203,4505950,2225096.7,I100000001,8,N,반곡중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,19220000,N,0,미지정,결산세출,251201840,110472280,92836560,223555340,295252450,S080000205,11738110,1422488.1,I100000001,8,N,다정중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,0,미지정,결산세출,0,316472510,0,0,0,S080000237,0,0.0,I100000001,8,N,집현중학교,
,공립,3,세종특별자치시 ,,세종특별자치시교육청,세종특별자치시교육청,I100000001,0,N,99990590,복식부기,결산세출,147420970,222333600,72202180,99580210,173723340,S080000241,42768390,3075337.9,I100000001,8,N,해밀중학교,
