FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,49360000,N,169402700,미지정,결산세출,282444080,258284250,127272830,196092996,646562230,S070000080,35458820,3440307.8,H100000001,7,일반고등학교,N,문수고등학교,,고,4.0
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,225384440,N,0,미지정,결산세출,310429330,685208990,182957620,335763550,1529191070,S070000081,41548050,3694735.5,H100000001,7,일반고등학교,N,남창고등학교,,,
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,55299450,N,274485960,미지정,결산세출,361800595,126891340,125373010,265056850,866195370,S070000082,28687880,2839123.4,H100000001,7,일반고등학교,N,울산동천고등학교,,고,4.0
공립,4,울산광역시 동구,울산광역시교육청,울산광역시교육청,H100000001,36914000,N,0,복식부기,결산세출,267166330,746584200,128950470,288952700,783039520,S070000083,83426010,3712294.5,H100000001,7,일반고등학교,N,대송고등학교,,,
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,21398000,N,500000,복식부기,결산세출,253746960,214902420,132001650,214835780,671020470,S070000084,39996400,3140774.2,H100000001,7,일반고등학교,N,무룡고등학교,,,
공립,4,울산광역시 동구,울산광역시교육청,울산광역시교육청,H100000001,32142740,N,48287000,복식부기,결산세출,327866510,161443940,35080320,253314260,615208640,S070000085,8676870,3006126.3,H100000001,7,일반고등학교,N,방어진고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,11562000,N,0,복식부기,결산세출,390060670,601504378,135117025,327271910,891190850,S070000091,72889760,3151227.7,H100000001,7,일반고등학교,N,신정고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,141689390,N,0,미지정,결산세출,652586240,239165130,1298254800,1819569958,1167672350,S070000099,31896770,5096033.0,H100000001,7,특성화고등학교,N,울산공업고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,5936960,N,0,복식부기,결산세출,335977520,281640310,230708600,225672070,638918370,S070000103,67246040,3776109.7,H100000001,7,특성화고등학교,N,울산상업고등학교,,고,4.0
공립,4,울산광역시 동구,울산광역시교육청,울산광역시교육청,H100000001,82690880,N,240979860,복식부기,결산세출,354251780,276959450,408357790,584516590,779844550,S070000104,81017770,5060574.2,H100000001,7,특성화고등학교,N,울산생활과학고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,11067000,N,10590000,미지정,결산세출,411842232,381991860,324388730,259381840,427816970,S070000105,75608940,6449788.4,H100000001,7,특성화고등학교,N,울산미용예술고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,13931280,N,0,미지정,결산세출,426224040,685927370,66547370,466572440,900810750,S070000106,34010890,3820359.6,H100000001,7,일반고등학교,N,울산여자고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,15650000,N,0,복식부기,결산세출,341246460,289304310,503548790,362345090,959994360,S070000107,52474660,3616853.4,H100000001,7,특성화고등학교,N,울산여자상업고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,20809000,N,0,복식부기,결산세출,537279185,111864920,603439198,1179589592,1295992670,S070000110,71040310,10914328.2,H100000001,7,특수목적고등학교,N,울산마이스터고등학교,,고,4.0
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,35270000,N,57647520,복식부기,결산세출,294495170,341426760,100255290,214356590,566532070,S070000113,8357370,3918500.7,H100000001,7,일반고등학교,N,울산중앙고등학교,,고,4.0
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,23297600,N,0,복식부기,결산세출,251807049,477081691,39390100,203774550,558491600,S070000114,31978300,3417717.4,H100000001,7,일반고등학교,N,울산가온고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,38284000,N,100388300,복식부기,결산세출,465444730,335411700,183588590,1198069950,1352038680,S070000115,25189380,10388807.1,H100000001,7,특수목적고등학교,N,울산에너지고등학교,,고,4.0
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,24228000,N,0,복식부기,결산세출,567604440,529453480,79924060,456420140,1036339580,S070000117,29330440,3569200.7,H100000001,7,일반고등학교,N,학성고등학교,,고,4.0
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,27037116,N,230998220,미지정,결산세출,230762880,393144190,49281276,272760254,643808534,S070000119,45737520,3705538.1,H100000001,7,일반고등학교,N,학성여자고등학교,,,
공립,4,울산광역시 동구,울산광역시교육청,울산광역시교육청,H100000001,17804000,N,6600000,미지정,결산세출,270127240,210347990,42464830,253070380,540038320,S070000126,33545180,3144160.0,H100000001,7,일반고등학교,N,화암고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,6643000,N,0,복식부기,결산세출,182618340,351025667,113712315,206127920,533849890,S070000128,27529633,3501248.2,H100000001,7,일반고등학교,N,효정고등학교,,,
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,9984500,N,23079000,미지정,결산세출,330883780,138858810,141187220,637615020,1143486670,S070000530,80003700,8668161.6,H100000001,7,특성화고등학교,N,울산애니원고등학교,,,
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,72388260,N,0,미지정,결산세출,328270580,166222370,83396580,259378210,666662930,S070000546,26670160,2778144.0,H100000001,7,일반고등학교,N,함월고등학교,,고,4.0
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,26871000,N,0,복식부기,결산세출,177538390,167207980,48821620,168779200,536462290,S070000548,41505090,2658737.1,H100000001,7,일반고등학교,N,다운고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,25844040,N,64962000,미지정,결산세출,241199740,427889000,236678160,476758340,980425510,S070000549,15536340,12928236.3,H100000001,7,특수목적고등학교,N,울산과학고등학교,,고,4.0
공립,4,울산광역시 동구,울산광역시교육청,울산광역시교육청,H100000001,28193000,N,0,미지정,결산세출,201415730,645109870,76976100,363423640,695327280,S070000550,49349780,3857294.8,H100000001,7,일반고등학교,N,남목고등학교,,고,4.0
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,28459000,N,228745110,복식부기,결산세출,302591450,350953610,44847530,354472450,794100830,S070000562,34163681,3569839.2,H100000001,7,일반고등학교,N,삼산고등학교,,고,4.0
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,15480000,N,64223450,미지정,결산세출,324507340,213311590,53130260,336504100,813966730,S070000563,37694490,3082616.8,H100000001,7,일반고등학교,N,대현고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,23221000,N,76989220,복식부기,결산세출,240971280,586437200,83474760,235850360,726072520,S070000564,48886540,3540985.8,H100000001,7,일반고등학교,N,신선여자고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,20383000,N,86970060,미지정,결산세출,311227290,205613260,86473190,159456550,667706650,S070000611,62964490,3132670.2,H100000001,7,일반고등학교,N,무거고등학교,,,
공립,4,울산광역시 동구,울산광역시교육청,울산광역시교육청,H100000001,56882360,N,44632600,복식부기,결산세출,346209359,505872710,51427150,316757605,568700940,S070000613,73792890,3920709.8,H100000001,7,자율고등학교,N,문현고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,22890000,N,68844000,복식부기,결산세출,374115660,332761878,111671510,229842382,882094620,S070000614,42464560,2887670.8,H100000001,7,일반고등학교,N,호계고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,29393950,N,0,미지정,결산세출,204845840,370260110,115847365,308849060,1137280460,S070000654,34268330,2247952.1,H100000001,7,일반고등학교,N,범서고등학교,,,
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,42840000,N,0,복식부기,결산세출,197435220,258948200,46640550,279775940,865493570,S070000659,42188220,2213693.1,H100000001,7,일반고등학교,N,달천고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,36982000,N,0,미지정,결산세출,355899590,337056530,137476390,455842330,1803013240,S070000673,30320510,6892119.2,H100000001,7,특수목적고등학교,N,울산외국어고등학교,,,
공립,4,울산광역시 남구,울산광역시교육청,울산광역시교육청,H100000001,18588000,N,109470940,복식부기,결산세출,352312240,441634260,76701110,339774040,621551960,S070000675,30385850,3652143.9,H100000001,7,일반고등학교,N,울산강남고등학교,,,
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,34581040,N,131415190,복식부기,결산세출,336437050,178131100,129408100,335714160,731408880,S070000688,30451760,3163428.3,H100000001,7,일반고등학교,N,화봉고등학교,,,
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,22672160,N,30706500,미지정,결산세출,350473320,263076270,41430470,144271520,837172680,S070000701,37260970,2388746.7,H100000001,7,일반고등학교,N,매곡고등학교,,고,4.0
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,31870940,N,0,복식부기,결산세출,354854940,154196390,89231174,378803096,1020472430,S070000702,25123710,2235639.5,H100000001,7,일반고등학교,N,천상고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,9283300,N,7337000,복식부기,결산세출,241547380,490274440,93940830,321846400,1026112510,S070000703,22762460,4728855.4,H100000001,7,일반고등학교,N,언양고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,498719840,N,266504140,복식부기,결산세출,977799740,147832760,180391610,1265715336,1582021630,S070000704,36502760,23824460.7,H100000001,7,특수목적고등학교,N,울산스포츠과학고등학교,,고,4.0
공립,4,울산광역시 중구,울산광역시교육청,울산광역시교육청,H100000001,26151000,N,0,복식부기,결산세출,329260200,447037720,113102350,467414410,795788310,S070000706,20583850,3337386.7,H100000001,7,자율고등학교,N,약사고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,68993670,N,191374160,복식부기,결산세출,387355560,88305210,1489884910,613451560,796864090,S070000727,60957760,7899972.1,H100000001,7,특성화고등학교,N,울산산업고등학교,,,
공립,4,울산광역시 울주군,울산광역시교육청,울산광역시교육청,H100000001,67399300,N,0,복식부기,결산세출,246228300,75487640,57912540,175816290,379591340,S070000736,19536960,3813329.7,H100000001,7,일반고등학교,N,온산고등학교,,고,4.0
공립,4,울산광역시 북구,울산광역시교육청,울산광역시교육청,H100000001,3448000,N,0,복식부기,결산세출,182508020,304329790,72862950,211099670,239139640,S070000759,9475220,9470956.4,H100000001,7,일반고등학교,N,강동고등학교,,,
