SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,4856000,N,0,복식부기,예산세출,126125000,34913000,56988000,63657000,209288000,S040000317,21168000,3887180.5,E100000001,4,N,강남중학교,
,공립,3,인천광역시 강화군,,인천광역시강화교육지원청,인천광역시교육청,E100000070,500000,N,0,복식부기,예산세출,80261000,19510000,11180000,98538000,103343000,S040000318,16996000,15729904.8,E100000001,4,N,강서중학교,
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,4000000,N,0,복식부기,예산세출,160780000,51350000,72276000,143355000,67222000,S040000320,42360000,1132516.7,E100000001,4,N,강화여자중학교,
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,3511000,N,0,복식부기,예산세출,188423000,44624000,57852000,125080000,55459000,S040000321,40996000,1079382.8,E100000001,4,N,강화중학교,
,공립,3,인천광역시 강화군,,인천광역시강화교육지원청,인천광역시교육청,E100000070,1009000,N,0,복식부기,예산세출,135826000,3000000,38200000,46370000,13873000,S040000322,8730000,11227636.4,E100000001,4,N,교동중학교,
,공립,3,인천광역시 강화군,,인천광역시강화교육지원청,인천광역시교육청,E100000070,2000000,N,0,복식부기,예산세출,22032000,65370000,2000000,47130000,17301000,S040000326,6330000,81081500.0,E100000001,4,N,서도중학교,
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,1000,N,0,복식부기,예산세출,91541000,18176000,9300000,55137000,111691000,S040000329,16600000,7201095.2,E100000001,4,N,심도중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,6400000,N,0,복식부기,예산세출,213667000,73865000,61947000,203706000,83650000,S040000412,60473000,1225972.1,E100000001,4,N,관교여자중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,5000000,N,0,복식부기,예산세출,237995000,47754000,181053000,211145000,141733000,S040000413,64540000,982563.5,E100000001,4,N,관교중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,3000000,N,0,복식부기,예산세출,157787000,61326000,141958000,192510000,143558000,S040000416,48103000,1078158.5,E100000001,4,N,남인천여자중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1500000,N,0,복식부기,예산세출,59133000,44069000,22900000,31448000,12603000,S040000417,3500000,10303117.6,E100000001,4,N,대청중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1000000,N,0,복식부기,예산세출,89758000,2120000,3580000,36080000,20160000,S040000420,12720000,10338625.0,E100000001,4,N,덕적중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1000000,N,0,복식부기,예산세출,131471000,27718000,24100000,105360000,23640000,S040000422,38090000,4880263.9,E100000001,4,N,백령중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,3500000,N,0,복식부기,예산세출,171360000,53188000,52973000,74259000,142151000,S040000424,34060000,2169351.0,E100000001,4,N,선인중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,6000000,N,0,복식부기,예산세출,135376000,45062000,121100000,119052000,153800000,S040000425,42180000,1347554.1,E100000001,4,N,선화여자중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1894000,N,0,복식부기,예산세출,162725000,40224000,82512000,134615000,127081000,S040000427,65966000,1518560.5,E100000001,4,N,신흥여자중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1000000,N,0,복식부기,예산세출,182623000,38411000,67130000,152248000,79878000,S040000428,38630000,1806193.5,E100000001,4,N,신흥중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1800000,N,0,복식부기,예산세출,118827000,22406000,13400000,37480000,12150000,S040000429,6468000,23614555.6,E100000001,4,N,연평중학교,
