FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
공립,4,전라남도 강진군,전라남도교육청,전라남도교육청,Q100000001,N,미지정,결산세입,68988580,5375060,0,201965450,2130000,S140000162,2694669000,Q100000001,15,일반고등학교,N,강진고등학교,,,
공립,4,전라남도 강진군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,1025600670,177283770,0,67256340,84124400,S140000163,5792374000,Q100000001,15,특수목적고등학교,N,전남생명과학고등학교,,,
공립,4,전라남도 완도군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,6218070,457260,0,28157800,77010200,S140000164,483840350,Q100000001,15,일반고등학교,N,고금고등학교,,고,4.0
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,N,미지정,결산세입,35603400,18184410,0,128712570,124200000,S140000165,2590760000,Q100000001,15,일반고등학교,N,고흥고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,N,미지정,결산세입,73116730,22628420,0,160092350,382520,S140000166,1896003390,Q100000001,15,일반고등학교,N,녹동고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,19690450,2518150,0,42424720,74155000,S140000167,1054834000,Q100000001,15,특성화고등학교,N,고흥도화고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,70368640,7375590,0,97047900,172080300,S140000169,2518451500,Q100000001,15,특성화고등학교,N,고흥산업과학고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,22312150,623040,0,14467000,0,S140000170,488152000,Q100000001,15,특성화고등학교,N,고흥영주고등학교,,,
공립,4,전라남도 곡성군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,26082730,4151750,0,163274710,600000,S140000171,1417827800,Q100000001,15,특성화고등학교,N,전남조리과학고등학교,,고,4.0
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,7990840,8569830,0,315590110,2000000,S140000174,3232151140,Q100000001,15,일반고등학교,N,광양고등학교,,,
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,329996340,11430510,0,53437430,105442000,S140000175,2538678810,Q100000001,15,특성화고등학교,N,광양하이텍고등학교,,,
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,58821000,5203360,0,206969800,32358810,S140000176,2861514000,Q100000001,15,일반고등학교,N,광양여자고등학교,,고,4.0
공립,4,전라남도 구례군,전라남도교육청,전라남도교육청,Q100000001,N,미지정,결산세입,92909000,4852170,0,130516850,5200000,S140000178,1606479240,Q100000001,15,일반고등학교,N,구례고등학교,,,
공립,4,전라남도 영암군,전라남도교육청,전라남도교육청,Q100000001,N,미지정,결산세입,58710150,3324680,0,87973370,30308560,S140000180,1797559000,Q100000001,15,특성화고등학교,N,구림공업고등학교,,,
공립,4,전라남도 나주시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,40673470,6956670,0,228004630,1110000,S140000184,2861285640,Q100000001,15,일반고등학교,N,나주고등학교,,,
공립,4,전라남도 나주시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,59150380,5112580,0,80229500,58994250,S140000186,2000602000,Q100000001,15,특성화고등학교,N,나주상업고등학교,,,
공립,4,전라남도 완도군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,37430990,1359650,0,49281300,0,S140000187,1034682850,Q100000001,15,일반고등학교,N,노화고등학교,,,
공립,4,전라남도 담양군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,51911380,2226600,0,239801370,2115000,S140000189,1597379000,Q100000001,15,일반고등학교,N,담양고등학교,,,
공립,4,전라남도 담양군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,33320740,13905180,0,71881240,17399400,S140000190,2848087780,Q100000001,15,특성화고등학교,N,담양공업고등학교,,고,4.0
공립,4,전라남도 장흥군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,137447680,4934710,0,52999850,2500000,S140000193,1850144000,Q100000001,15,특성화고등학교,N,한국말산업고등학교,,고,4.0
공립,4,전라남도 신안군,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,91148370,4341050,0,35506370,500000,S140000194,2139918000,Q100000001,15,일반고등학교,N,도초고등학교,,,
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,85811860,13437750,0,286464810,3390000,S140000195,2595618860,Q100000001,15,일반고등학교,N,광양백운고등학교,,,
공립,4,전라남도 목포시,전라남도교육청,전라남도교육청,Q100000001,N,복식부기,결산세입,346686710,27386020,0,326627250,75652000,S140000196,2780282000,Q100000001,15,일반고등학교,N,목포고등학교,,고,4.0
