SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,미지정,결산세입,26167050,4344090,0,71297700,100000,S130000469,1208340830,P100000001,14,N,고창중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,복식부기,결산세입,2164410,708570,0,8647600,0,S130000470,264347020,P100000001,14,N,공음중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,복식부기,결산세입,2470350,475880,0,10499850,0,S130000471,286687810,P100000001,14,N,대성중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,복식부기,결산세입,1524420,160290,0,7165030,39339310,S130000472,225552260,P100000001,14,N,상하중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,미지정,결산세입,10870520,398830,0,8317960,0,S130000473,305391480,P100000001,14,N,성내중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,복식부기,결산세입,1056430,390060,0,10257380,0,S130000474,231823050,P100000001,14,N,신림중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,미지정,결산세입,3502565,924800,0,8428850,0,S130000475,289451080,P100000001,14,N,심원중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,미지정,결산세입,1776680,569250,0,11790390,2000000,S130000476,304211400,P100000001,14,N,아산중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,미지정,결산세입,4061090,534660,0,12311560,0,S130000478,326399110,P100000001,14,N,해리중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,N,미지정,결산세입,310810,627720,0,9390770,0,S130000479,242438590,P100000001,14,N,흥덕중학교,
