SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,50000,N,0,복식부기,예산세출,232291000,75830000,16630000,113467000,437735000,S130000469,2500000,2460792.7,P100000001,14,N,고창중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,300000,N,0,복식부기,예산세출,67007000,20060000,13042000,52968000,25142000,S130000470,5860000,5947709.7,P100000001,14,N,공음중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,60286000,24444000,16750000,35520000,33288000,S130000471,3790000,6963120.0,P100000001,14,N,대성중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1000000,N,0,복식부기,예산세출,68529000,17986000,5900000,41652000,31450000,S130000472,7220000,5604419.4,P100000001,14,N,상하중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,74287000,21820000,8015000,25520000,23971000,S130000473,8050000,13471916.7,P100000001,14,N,성내중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,480000,N,0,복식부기,예산세출,67810000,13694000,17152000,44602000,27923000,S130000474,5480000,11071312.5,P100000001,14,N,신림중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,2422000,N,0,복식부기,예산세출,58300000,18720000,9220000,52398000,27579000,S130000475,4360000,5580612.9,P100000001,14,N,심원중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,500000,N,0,복식부기,예산세출,74179000,22176000,5660000,40019000,30882000,S130000476,2750000,10362705.9,P100000001,14,N,아산중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,62545000,19148000,8600000,64338000,35219000,S130000478,7470000,7047142.9,P100000001,14,N,해리중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1000000,N,0,복식부기,예산세출,84787000,10350000,8500000,46496000,23189000,S130000479,4010000,5572875.0,P100000001,14,N,흥덕중학교,
