FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,전북특별자치도 군산시,전북특별자치도군산교육지원청,전북특별자치도교육청,A000000001,0,N,0,복식부기,예산세출,284704000,152353000,276969000,406681000,545357000,S000003522,57160000,4016839.2,A000000001,14,N,전주교육대학교군산부설초등학교,,,
국립,2,전북특별자치도 전주시 완산구,전북특별자치도전주교육지원청,전북특별자치도교육청,A000000001,2000000,N,0,복식부기,예산세출,346947000,107869000,109670000,237911000,555405000,S000003525,53300000,3286283.7,A000000001,14,N,전주교육대학교전주부설초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1500000,N,0,복식부기,예산세출,56424000,14276000,42916000,61042000,40628000,S130000480,7400000,4873608.7,P100000001,14,N,가평초등학교,초,2.0,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,80912000,20635000,19991000,50960000,40537000,S130000481,5870000,4864555.6,P100000001,14,N,고수초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,2000000,N,0,복식부기,예산세출,152817000,32710000,15000000,69483000,219203000,S130000482,6570000,1797050.5,P100000001,14,N,고창남초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,2000000,N,0,복식부기,예산세출,282273000,152047000,58640000,184712000,448400000,S130000484,7600000,1226427.6,P100000001,14,N,고창초등학교,초,2.0,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,84420000,21276000,10120000,69703000,92020000,S130000485,3600000,8519363.6,P100000001,14,N,공음초등학교,초,2.0,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1300000,N,0,복식부기,예산세출,80010000,13470000,24960000,45074000,30842000,S130000486,7300000,10147800.0,P100000001,14,N,대산초등학교,초,2.0,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,82660000,16390000,33315000,52998000,101788000,S130000487,5930000,7514897.4,P100000001,14,N,대아초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,5000000,N,0,복식부기,예산세출,70191000,46510000,6560000,17050000,26797000,S130000489,4600000,11044250.0,P100000001,14,N,동호초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1316000,N,0,복식부기,예산세출,93441000,17142000,18234000,43005000,58684000,S130000490,6120000,4855959.2,P100000001,14,N,매산초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1750000,N,0,복식부기,예산세출,92558000,17400000,18210000,65910000,88258000,S130000491,6216000,4535968.8,P100000001,14,N,무장초등학교,,,
공립,2,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1200000,N,0,복식부기,예산세출,83618000,28740000,22729000,34010000,38521000,S130000492,5800000,8942416.7,P100000001,14,N,봉암초등학교,,,
