FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,A000000001,N,복식부기,예산세입,100000000,8000000,0,227661000,1498839000,S000003566,1522720000,A000000001,18,일반고등학교,N,제주대학교사범대학부설고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,15000000,6600000,0,223261000,0,S170000122,1171019000,T100000001,18,일반고등학교,N,대정고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,4000000,3500000,0,69629000,0,S170000123,1023021000,T100000001,18,일반고등학교,N,대정여자고등학교,,고,4.0
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,5000000,11700000,0,504458000,0,S170000124,1893138000,T100000001,18,일반고등학교,N,서귀포고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,6000000,0,269813000,0,S170000125,1764709000,T100000001,18,일반고등학교,N,서귀포여자고등학교,,고,4.0
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,5000000,7600000,0,223370000,0,S170000126,1777200000,T100000001,18,일반고등학교,N,세화고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,25000000,15000000,0,659978000,0,S170000127,3370003000,T100000001,18,일반고등학교,N,제주제일고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,5000000,8800000,0,447979000,0,S170000128,2680399000,T100000001,18,일반고등학교,N,제주중앙여자고등학교,,고,4.0
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,24000000,6780000,0,115779000,0,S170000129,1467076000,T100000001,18,일반고등학교,N,한림고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,8000000,12380000,0,364550000,0,S170000140,2304976000,T100000001,18,일반고등학교,N,애월고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,31000000,11025000,0,118058000,0,S170000143,1574875000,T100000001,18,특성화고등학교,N,제주여자상업고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,2600000,0,43943000,0,S170000144,1449106000,T100000001,18,특성화고등학교,N,중문고등학교,,고,4.0
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,20000000,8600000,0,316256000,0,S170000146,1706374000,T100000001,18,일반고등학교,N,표선고등학교,,고,4.0
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,18500000,0,261049000,0,S170000148,2633717000,T100000001,18,특성화고등학교,N,한림공업고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,6000000,0,195750000,0,S170000150,2052947000,T100000001,18,일반고등학교,N,함덕고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,20000000,17160000,0,48060000,0,S170000152,1054769000,T100000001,18,특성화고등학교,N,한국뷰티고등학교,,고,4.0
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,6000000,0,400972000,0,S170000156,1247413000,T100000001,18,특수목적고등학교,N,제주과학고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,80000000,721550000,0,182000000,0,S170000157,2261861000,T100000001,18,특성화고등학교,N,제주고등학교,,고,4.0
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,41000000,0,148325000,0,S170000158,1985169000,T100000001,18,특성화고등학교,N,서귀포산업과학고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,10000000,9100000,0,96241000,0,S170000159,1826868000,T100000001,18,일반고등학교,N,성산고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,N,복식부기,예산세입,19427000,9240000,0,619872000,0,S170000773,1678637000,T100000001,18,특수목적고등학교,N,제주외국어고등학교,,,
