SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,제주특별자치도 제주시,3.0,교육부,제주특별자치도교육청,A000000001,N,복식부기,예산세입,0,6000000,0,53327000,669661000,S000003567,967204000,A000000001,18,N,제주대학교사범대학부설중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,4000000,1300000,0,27720000,10000000,S170000160,443832000,T100000001,18,N,김녕중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,7500000,4300000,0,28094000,0,S170000161,512340000,T100000001,18,N,세화중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,7000000,530000,0,44857000,0,S170000162,427158000,T100000001,18,N,신엄중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,5000000,1800000,0,93006000,0,S170000163,622407000,T100000001,18,N,신창중학교,
중,공립,3,제주특별자치도 제주시,3.0,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,8000000,1800000,0,62343000,0,S170000164,715301000,T100000001,18,N,애월중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,5000000,3300000,0,41025000,0,S170000165,662800000,T100000001,18,N,우도중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,10000000,4000000,0,89970000,0,S170000166,750368000,T100000001,18,N,저청중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,7000000,2000000,0,46524000,0,S170000167,733398000,T100000001,18,N,조천중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,3000000,460000,0,19377000,0,S170000168,300669000,T100000001,18,N,추자중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,6000000,1293000,0,83109000,0,S170000169,545470000,T100000001,18,N,한림여자중학교,
중,공립,3,제주특별자치도 제주시,3.0,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,10000000,1000000,0,34178000,0,S170000170,556434000,T100000001,18,N,한림중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,3000000,3000000,0,38726000,0,S170000171,778592000,T100000001,18,N,함덕중학교,
중,공립,3,제주특별자치도 제주시,3.0,제주시교육지원청,제주특별자치도교육청,T100000110,Y,복식부기,,0,0,0,0,0,S170000172,0,T100000001,18,N,고산중학교,고산중.한국뷰티고 통합학교로 한국뷰티고에서 제출함.
,공립,3,제주특별자치도 서귀포시,,서귀포시교육지원청,제주특별자치도교육청,T100000095,N,복식부기,예산세입,5000000,2700000,0,31910000,0,S170000275,520066000,T100000001,18,N,남원중학교,
,공립,3,제주특별자치도 서귀포시,,서귀포시교육지원청,제주특별자치도교육청,T100000095,N,복식부기,예산세입,15000000,2500000,0,36300000,0,S170000276,1102794000,T100000001,18,N,대정중학교,
,공립,3,제주특별자치도 서귀포시,,서귀포시교육지원청,제주특별자치도교육청,T100000095,N,복식부기,예산세입,4000000,3200000,0,51777000,0,S170000277,686914000,T100000001,18,N,무릉중학교,
중,공립,3,제주특별자치도 서귀포시,3.0,서귀포시교육지원청,제주특별자치도교육청,T100000095,N,복식부기,예산세입,10000000,4000000,0,100550000,0,S170000279,1158294000,T100000001,18,N,서귀중앙여자중학교,
중,공립,3,제주특별자치도 서귀포시,3.0,서귀포시교육지원청,제주특별자치도교육청,T100000095,N,복식부기,예산세입,10000000,5000000,0,25236000,0,S170000281,1294790000,T100000001,18,N,서귀포대신중학교,
