SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,충청남도 공주시,3.0,교육부,충청남도교육청,A000000001,N,복식부기,결산세입,98792690,1329670,0,22151550,224057000,S000003501,610538450,A000000001,13,N,국립공주대학교사범대학부설중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,N,미지정,결산세입,460880,5202680,0,64790160,1700000,S120000279,1534815000,N100000001,13,N,공주여자중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,45952690,4193610,0,294903880,8145230,S120000281,1535563000,N100000001,13,N,공주중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,N,미지정,결산세입,2454920,625210,0,11975140,0,S120000282,450382000,N100000001,13,N,반포중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,13841410,11718500,0,46701540,720000,S120000283,1079477940,N100000001,13,N,봉황중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,1773020,1040020,0,11790840,300000,S120000284,525421000,N100000001,13,N,사곡중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,17341670,1824860,0,32880390,520000,S120000286,635931000,N100000001,13,N,우성중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,5515970,1366780,0,29699910,0,S120000287,615557290,N100000001,13,N,유구중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,4608350,1477130,0,12532310,0,S120000288,431144900,N100000001,13,N,이인중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,2716810,870320,0,11508570,0,S120000290,403502000,N100000001,13,N,정안중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,결산세입,988140,1084510,0,12369780,150000,S120000291,427671000,N100000001,13,N,탄천중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,N,복식부기,결산세입,18288810,1217690,0,45367610,1400000,S120000367,1213473000,N100000001,13,N,금산동중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,N,복식부기,결산세입,6955700,2465980,0,39849370,0,S120000368,869121880,N100000001,13,N,금산여자중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,N,복식부기,결산세입,4641570,1011650,0,28071440,1200000,S120000369,890411800,N100000001,13,N,금산중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,N,미지정,결산세입,2010810,418470,0,10211740,0,S120000371,422783000,N100000001,13,N,복수중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,N,미지정,결산세입,2330560,635300,0,14405800,0,S120000372,503165000,N100000001,13,N,부리중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,N,복식부기,결산세입,2016950,1249330,0,16793740,150000,S120000373,541421600,N100000001,13,N,제원중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,N,복식부기,결산세입,2432080,1150500,0,15588620,0,S120000374,661665000,N100000001,13,N,진산중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,N,복식부기,결산세입,2566460,3730330,0,36375450,0,S120000375,898437000,N100000001,13,N,추부중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,1755220,838110,0,12055740,0,S120000420,328476000,N100000001,13,N,가야곡중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,4022870,1810350,0,70052270,9000000,S120000421,806566420,N100000001,13,N,강경여자중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,5422910,6480070,0,33384470,0,S120000422,760883100,N100000001,13,N,강경중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,5821960,1051000,0,28576740,0,S120000424,547528000,N100000001,13,N,광석중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,2637440,810860,0,20072460,1488600,S120000426,554535720,N100000001,13,N,노성중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,25729910,3268090,0,60864300,220000,S120000428,1155470360,N100000001,13,N,논산여자중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,6005770,1752140,0,56858990,5000000,S120000429,1322889930,N100000001,13,N,논산중학교,
중,공립,3,충청남도 계룡시,3.0,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,23899850,3098310,0,68567080,5110000,S120000434,1435848000,N100000001,13,N,엄사중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,미지정,결산세입,1951590,1078870,0,34673740,1000000,S120000437,995002780,N100000001,13,N,연무중학교,
중,공립,3,충청남도 논산시,3.0,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,1236940,1594680,0,30982340,120000,S120000438,657339000,N100000001,13,N,연산중학교,
,공립,3,충청남도 계룡시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,결산세입,711240,3819700,0,55715200,210000,S120000439,1155223180,N100000001,13,N,용남중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,결산세입,15400800,1806990,0,51862740,100000,S120000506,1062748300,N100000001,13,N,부여여자중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,결산세입,16817010,3965410,0,50450420,8900000,S120000507,1398855570,N100000001,13,N,부여중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,미지정,결산세입,5092480,908840,0,22701880,0,S120000508,454842000,N100000001,13,N,석성중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,미지정,결산세입,2696030,850250,0,15398520,0,S120000509,483505000,N100000001,13,N,세도중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,결산세입,2707130,600080,0,10631720,0,S120000510,327721000,N100000001,13,N,양화중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,결산세입,1915670,2283500,0,16453660,5665000,S120000513,467202700,N100000001,13,N,은산중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,결산세입,1085000,413620,0,13430770,0,S120000514,361262000,N100000001,13,N,임천중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,N,미지정,결산세입,2217880,1411750,0,16806120,0,S120000516,476958000,N100000001,13,N,홍산중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,N,미지정,결산세입,3474150,2397850,0,14243500,17919140,S120000579,403057000,N100000001,13,N,도고중학교,
,공립,3,충청남도 아산시,,충청남도아산교육지원청,충청남도교육청,N100000066,N,복식부기,결산세입,2273460,441350,0,15402740,0,S120000582,342164500,N100000001,13,N,선도중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,N,미지정,결산세입,2632760,1283180,0,27771940,0,S120000583,609931000,N100000001,13,N,송남중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,N,복식부기,결산세입,1398200,1405870,0,34016900,20481630,S120000584,700457000,N100000001,13,N,신창중학교,
,공립,3,충청남도 아산시,,충청남도아산교육지원청,충청남도교육청,N100000066,N,복식부기,결산세입,2436170,1200650,0,21884560,0,S120000587,542188000,N100000001,13,N,영인중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,N,미지정,결산세입,2095890,9259990,0,83836260,15301600,S120000588,1670534000,N100000001,13,N,온양여자중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,N,미지정,결산세입,20397130,10277110,0,193780610,2200000,S120000589,1696259290,N100000001,13,N,온양중학교,
,공립,3,충청남도 아산시,,충청남도아산교육지원청,충청남도교육청,N100000066,N,미지정,결산세입,18058630,3643720,0,49753460,100000,S120000591,985485950,N100000001,13,N,음봉중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,N,미지정,결산세입,10911780,1549830,0,26256560,0,S120000592,471923000,N100000001,13,N,인주중학교,
중,공립,3,충청남도 예산군,3.0,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,결산세입,2237430,606350,0,27218320,0,S120000682,574080000,N100000001,13,N,고덕중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,결산세입,1022230,323110,0,15819400,0,S120000684,424454000,N100000001,13,N,대술중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,N,미지정,결산세입,50363340,5484200,0,54190420,0,S120000686,1401343000,N100000001,13,N,덕산중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,결산세입,9845700,2015840,0,19112020,300000,S120000687,539544000,N100000001,13,N,삽교중학교,
중,공립,3,충청남도 예산군,3.0,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,결산세입,6690550,1262260,0,17637840,0,S120000688,714602000,N100000001,13,N,신암중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,결산세입,19160710,4551880,0,54661620,13170000,S120000690,1374887500,N100000001,13,N,예산여자중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,결산세입,54320860,3952040,0,194713620,2700000,S120000691,1876520000,N100000001,13,N,예산중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,N,미지정,결산세입,7828280,1395450,0,25837170,3629550,S120000738,849148000,N100000001,13,N,목천중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,결산세입,2753100,731310,0,23914270,2100000,S120000739,605654000,N100000001,13,N,병천중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,결산세입,19136650,4807760,0,40270530,1500000,S120000741,1361641000,N100000001,13,N,성환중학교,
,공립,3,충청남도 천안시 서북구,,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,결산세입,4797670,1198090,0,20131780,0,S120000743,681989000,N100000001,13,N,입장중학교,
,공립,3,충청남도 천안시 동남구,,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,결산세입,1918090,853300,0,18096710,25968360,S120000744,654416000,N100000001,13,N,천남중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,결산세입,139989570,1498090,0,45416520,5000000,S120000746,1229497000,N100000001,13,N,천안동중학교,
