FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,충청남도 공주시,교육부,충청남도교육청,A000000001,14009000,N,0,복식부기,결산세출,322897350,297505420,302661280,206526800,383776490,S000003499,45340640,3132902.4,A000000001,13,N,공주교육대학교부설초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,97860670,174447670,59638500,100241090,159489070,S120000293,3389470,17001899.1,N100000001,13,N,경천초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,168337240,190300070,100954810,181439690,98020380,S120000294,6788620,9207911.2,N100000001,13,N,계룡초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,194089750,140476550,126777630,321449850,192312590,S120000295,11163660,6849097.4,N100000001,13,N,공주교동초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,143458860,284585770,100770820,166381130,71746750,S120000296,8618810,9458074.9,N100000001,13,N,공주금학초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,미지정,결산세출,145146370,195858880,53471500,216189770,304784980,S120000297,2784770,10317261.5,N100000001,13,N,공주봉황초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,377813170,619314800,510944590,500232030,469691690,S120000298,52875240,2216174.7,N100000001,13,N,공주신월초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,15044000,N,28875280,복식부기,결산세출,260426850,647338690,300515050,309397470,250849210,S120000299,11515290,8854183.7,N100000001,13,N,공주중동초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,155694160,87575580,108910990,159894650,146433520,S120000302,4056810,14097142.8,N100000001,13,N,구산초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,161593960,76920080,112678720,153258950,123542040,S120000304,56927620,10377596.5,N100000001,13,N,귀산초등학교,초,2.0,
