SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,충청북도 청주시 흥덕구,3.0,교육부,충청북도교육청,A000000001,2006000,N,10000000,복식부기,예산세출,556879000,117209000,61260000,376432000,691847000,S000003535,164278000,5351110.8,A000000001,12,N,한국교원대학교부설미호중학교,
,국립,3,충청북도 청주시 흥덕구,,교육부,충청북도교육청,A000000001,0,N,0,복식부기,예산세출,570515000,74381000,82290000,303116000,728411000,S000003570,93000000,3973633.0,A000000001,12,N,충북대학교사범대학부설중학교,
중,공립,3,충청북도 괴산군,3.0,충청북도괴산증평교육지원청,충청북도교육청,M100000052,1000000,N,0,복식부기,예산세출,194240000,53740000,64698000,396388000,223408000,S110000261,15670000,6084256.4,M100000001,12,N,괴산북중학교,
,공립,3,충청북도 괴산군,,충청북도괴산증평교육지원청,충청북도교육청,M100000052,4648000,N,0,복식부기,예산세출,174498000,52810000,95338000,132000000,193547000,S110000263,14790000,4450873.3,M100000001,12,N,괴산중학교,
중,공립,3,충청북도 괴산군,3.0,충청북도괴산증평교육지원청,충청북도교육청,M100000052,5000000,N,0,복식부기,예산세출,141295000,37311000,32554000,69578000,59395000,S110000267,7332000,14686041.7,M100000001,12,N,송면중학교,
,공립,3,충청북도 괴산군,,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,예산세출,104602000,17345000,50729000,88044000,36751000,S110000269,9300000,27888272.7,M100000001,12,N,연풍중학교,
,공립,3,충청북도 증평군,,충청북도괴산증평교육지원청,충청북도교육청,M100000052,2000000,N,0,복식부기,예산세출,226877000,29643000,99018000,163570000,328425000,S110000271,12200000,2862900.3,M100000001,12,N,증평여자중학교,
,공립,3,충청북도 증평군,,충청북도괴산증평교육지원청,충청북도교육청,M100000052,1000000,N,0,복식부기,예산세출,298652000,65957000,135718000,325394000,316757000,S110000272,25255000,2591425.7,M100000001,12,N,증평중학교,
,공립,3,충청북도 괴산군,,충청북도괴산증평교육지원청,충청북도교육청,M100000052,1000000,N,0,복식부기,예산세출,140276000,44551000,96112000,72948000,61730000,S110000274,6430000,14101566.7,M100000001,12,N,청천중학교,
중,공립,3,충청북도 괴산군,3.0,충청북도괴산증평교육지원청,충청북도교육청,M100000052,500000,N,0,복식부기,예산세출,107771000,21040000,41260000,100628000,57982000,S110000275,9900000,11692448.3,M100000001,12,N,칠성중학교,
중,공립,3,충청북도 단양군,3.0,충청북도단양교육지원청,충청북도교육청,M100000060,500000,N,0,복식부기,예산세출,119203000,41465000,40142000,62036000,123783000,S110000351,8800000,11997848.5,M100000001,12,N,단성중학교,
,공립,3,충청북도 단양군,,충청북도단양교육지원청,충청북도교육청,M100000060,1988000,N,0,복식부기,예산세출,201646000,163259000,90202000,299426000,274847000,S110000353,17310000,4315547.3,M100000001,12,N,단양중학교,
중,공립,3,충청북도 단양군,3.0,충청북도단양교육지원청,충청북도교육청,M100000060,1000000,N,0,복식부기,예산세출,172214000,37760000,45908000,123182000,145766000,S110000354,11100000,6243372.1,M100000001,12,N,매포중학교,
중,공립,3,충청북도 단양군,3.0,충청북도단양교육지원청,충청북도교육청,M100000060,0,N,0,복식부기,예산세출,130131000,11290000,35514000,101655000,63843000,S110000356,14132000,13714038.5,M100000001,12,N,영춘중학교,
,공립,3,충청북도 보은군,,충청북도보은교육지원청,충청북도교육청,M100000065,1000000,N,0,복식부기,예산세출,159755000,45335000,17874000,85525000,62645000,S110000416,9786000,11935000.0,M100000001,12,N,보덕중학교,
중,공립,3,충청북도 보은군,3.0,충청북도보은교육지원청,충청북도교육청,M100000065,1000000,N,0,복식부기,예산세출,143197000,70946000,27822000,127108000,192861000,S110000417,12080000,3159417.6,M100000001,12,N,보은여자중학교,
중,공립,3,충청북도 보은군,3.0,충청북도보은교육지원청,충청북도교육청,M100000065,1000000,N,0,복식부기,예산세출,227962000,62852000,59758000,210511000,270798000,S110000418,21220000,3847301.8,M100000001,12,N,보은중학교,
,공립,3,충청북도 보은군,,충청북도보은교육지원청,충청북도교육청,M100000065,0,N,0,복식부기,예산세출,217662000,49564000,28678000,141615000,567070000,S110000420,16441000,13260129.9,M100000001,12,N,속리산중학교,
,공립,3,충청북도 보은군,,충청북도보은교육지원청,충청북도교육청,M100000065,0,N,0,복식부기,예산세출,115550000,38921000,34010000,106787000,58812000,S110000421,8644000,12954428.6,M100000001,12,N,회인중학교,
,공립,3,충청북도 영동군,,충청북도영동교육지원청,충청북도교육청,M100000071,979000,N,0,복식부기,예산세출,226945000,107772000,96683000,220042000,311568000,S110000485,22430000,2740052.8,M100000001,12,N,영동중학교,
중,공립,3,충청북도 영동군,3.0,충청북도영동교육지원청,충청북도교육청,M100000071,1000000,N,0,복식부기,예산세출,92230000,30360000,22393000,83401000,18724000,S110000491,7652000,14208888.9,M100000001,12,N,학산중학교,
중,공립,3,충청북도 옥천군,3.0,충청북도옥천교육지원청,충청북도교육청,M100000077,577000,N,0,복식부기,예산세출,128458000,27926000,25393000,95177000,48290000,S110000560,7214000,19590294.1,M100000001,12,N,안내중학교,
,공립,3,충청북도 옥천군,,충청북도옥천교육지원청,충청북도교육청,M100000077,3371000,N,0,복식부기,예산세출,294533000,54623000,73282000,234037000,464048000,S110000561,27855000,2531316.5,M100000001,12,N,옥천여자중학교,
,공립,3,충청북도 옥천군,,충청북도옥천교육지원청,충청북도교육청,M100000077,0,N,0,복식부기,예산세출,350503000,125375000,132589000,283868000,537882000,S110000562,30510000,2909814.7,M100000001,12,N,옥천중학교,
,공립,3,충청북도 옥천군,,충청북도옥천교육지원청,충청북도교육청,M100000077,1000000,N,0,복식부기,예산세출,150646000,33232000,33559000,62341000,83016000,S110000563,10220000,9590102.6,M100000001,12,N,이원중학교,
중,공립,3,충청북도 옥천군,3.0,충청북도옥천교육지원청,충청북도교육청,M100000077,0,N,0,복식부기,예산세출,124514000,35300000,23778000,81797000,63574000,S110000565,10860000,8942710.5,M100000001,12,N,청산중학교,
,공립,3,충청북도 음성군,,충청북도음성교육지원청,충청북도교육청,M100000083,1000000,N,0,복식부기,예산세출,181756000,59863000,23870000,116158000,132599000,S110000614,11025000,6924618.4,M100000001,12,N,감곡중학교,
,공립,3,충청북도 음성군,,충청북도음성교육지원청,충청북도교육청,M100000083,1000000,N,0,복식부기,예산세출,287911000,77828000,48484000,290328000,420625000,S110000616,22249000,3095485.2,M100000001,12,N,대소중학교,
중,공립,3,충청북도 음성군,3.0,충청북도음성교육지원청,충청북도교육청,M100000083,500000,N,0,복식부기,예산세출,345843000,200219000,135561000,251905000,529256000,S110000618,31024000,3172628.5,M100000001,12,N,무극중학교,
중,공립,3,충청북도 음성군,3.0,충청북도음성교육지원청,충청북도교육청,M100000083,461000,N,0,복식부기,예산세출,141388000,50942000,102292000,121894000,171497000,S110000619,17004000,6959517.2,M100000001,12,N,삼성중학교,
,공립,3,충청북도 음성군,,충청북도음성교육지원청,충청북도교육청,M100000083,1528000,N,0,복식부기,예산세출,224729000,51201000,40643000,137224000,258565000,S110000621,17090000,3691818.2,M100000001,12,N,음성여자중학교,
중,공립,3,충청북도 음성군,3.0,충청북도음성교육지원청,충청북도교육청,M100000083,3157000,N,0,복식부기,예산세출,178645000,77432000,46438000,113903000,175374000,S110000622,15450000,5401761.1,M100000001,12,N,음성중학교,
중,공립,3,충청북도 제천시,3.0,충청북도제천교육지원청,충청북도교육청,M100000091,500000,N,0,복식부기,예산세출,125111000,35002000,30357000,92415000,97131000,S110000666,10305000,9770525.0,M100000001,12,N,백운중학교,
중,공립,3,충청북도 제천시,3.0,충청북도제천교육지원청,충청북도교육청,M100000091,1099000,N,0,복식부기,예산세출,154097000,25578000,21880000,98969000,93257000,S110000667,14497000,12405363.6,M100000001,12,N,봉양중학교,
중,공립,3,충청북도 제천시,3.0,충청북도제천교육지원청,충청북도교육청,M100000091,300000,N,0,복식부기,예산세출,133950000,28625000,11798000,22136000,39489000,S110000668,5632000,40321666.7,M100000001,12,N,송학중학교,
,공립,3,충청북도 제천시,,충청북도제천교육지원청,충청북도교육청,M100000091,1000000,N,0,복식부기,예산세출,86884000,35655000,27813000,59334000,21394000,S110000669,15035000,19008846.2,M100000001,12,N,수산중학교,
,공립,3,충청북도 제천시,,충청북도제천교육지원청,충청북도교육청,M100000091,16505000,N,0,복식부기,예산세출,260440000,64412000,56752000,303295000,533569000,S110000671,39227000,2204498.3,M100000001,12,N,의림여자중학교,
,공립,3,충청북도 제천시,,충청북도제천교육지원청,충청북도교육청,M100000091,0,N,0,복식부기,예산세출,110787000,22286000,32098000,55979000,30519000,S110000672,16140000,12173136.4,M100000001,12,N,제천덕산중학교,
,공립,3,충청북도 제천시,,충청북도제천교육지원청,충청북도교육청,M100000091,10000000,N,0,복식부기,예산세출,273285000,95904000,40513000,230090000,443337000,S110000673,22350000,2874945.9,M100000001,12,N,제천동중학교,
,공립,3,충청북도 제천시,,충청북도제천교육지원청,충청북도교육청,M100000091,0,N,0,복식부기,예산세출,319493000,113801000,49095000,345261000,532068000,S110000674,18150000,2478179.9,M100000001,12,N,제천여자중학교,
중,공립,3,충청북도 제천시,3.0,충청북도제천교육지원청,충청북도교육청,M100000091,2000000,N,0,복식부기,예산세출,338543000,162039000,227364000,229889000,522744000,S110000675,25257000,2962349.7,M100000001,12,N,제천중학교,
,공립,3,충청북도 제천시,,충청북도제천교육지원청,충청북도교육청,M100000091,0,N,0,복식부기,예산세출,70459000,25650000,56903000,72150000,17977000,S110000676,5950000,20757416.7,M100000001,12,N,청풍중학교,
중,공립,3,충청북도 제천시,3.0,충청북도제천교육지원청,충청북도교육청,M100000091,0,N,0,복식부기,예산세출,92095000,25620000,28031000,61985000,10895000,S110000678,7206000,45166400.0,M100000001,12,N,한송중학교,
중,공립,3,충청북도 진천군,3.0,충청북도진천교육지원청,충청북도교육청,M100000098,3000000,N,0,복식부기,예산세출,263144000,146816000,33668000,234874000,393495000,S110000763,22174000,3039254.8,M100000001,12,N,광혜원중학교,
,공립,3,충청북도 진천군,,충청북도진천교육지원청,충청북도교육청,M100000098,0,N,0,복식부기,예산세출,161780000,61479000,20090000,88160000,102020000,S110000764,19746000,4487871.3,M100000001,12,N,덕산중학교,
,공립,3,충청북도 진천군,,충청북도진천교육지원청,충청북도교육청,M100000098,0,N,0,복식부기,예산세출,140654000,43067000,19276000,81935000,99668000,S110000766,17128000,5658140.8,M100000001,12,N,이월중학교,
,공립,3,충청북도 진천군,,충청북도진천교육지원청,충청북도교육청,M100000098,0,N,0,복식부기,예산세출,264897000,81531000,54197000,284109000,529451000,S110000767,32620000,2586732.4,M100000001,12,N,진천여자중학교,
,공립,3,충청북도 진천군,,충청북도진천교육지원청,충청북도교육청,M100000098,2050000,N,0,복식부기,예산세출,309070000,107237000,76942000,372996000,533145000,S110000768,32413000,2817000.0,M100000001,12,N,진천중학교,
,공립,3,충청북도 청주시 상당구,,충청북도청주교육지원청,충청북도교육청,M100000109,0,N,0,복식부기,예산세출,87306000,21469000,47684000,67695000,194972000,S110000798,8100000,14240866.7,M100000001,12,N,가덕중학교,
