FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,충청북도 청주시 서원구,교육부,충청북도교육청,A000000001,617250,N,0,복식부기,결산세출,265074540,130059100,385291830,307261380,638545610,S000003528,60253120,4337628.2,A000000001,12,N,청주교육대학교부설초등학교,,,
국립,2,충청북도 청주시 흥덕구,교육부,충청북도교육청,A000000001,0,N,418706250,복식부기,결산세출,224379100,205392570,487945860,323911650,720051010,S000003536,88438550,5264019.2,A000000001,12,N,한국교원대학교부설월곡초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,결산세출,148906720,80246820,105072390,158971770,260876140,S110000278,15872310,13999020.9,M100000001,12,N,감물초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,결산세출,222958092,72166890,188596520,281578776,183850660,S110000286,14792430,7140321.2,M100000001,12,N,괴산명덕초등학교,,,
공립,2,충청북도 증평군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,4020000,N,0,복식부기,결산세출,100692470,123411120,89686550,149186830,269675230,S110000290,11636040,6865213.2,M100000001,12,N,도안초등학교,초,2.0,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,결산세출,228465568,81645572,258201285,313596340,352224170,S110000293,20317440,4325690.9,M100000001,12,N,동인초등학교,초,2.0,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,2177000,N,0,복식부기,결산세출,131571860,70342970,115279390,151100280,190044270,S110000296,11400530,14606876.1,M100000001,12,N,목도초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,2854000,N,0,복식부기,결산세출,129759800,69811740,115332420,67785520,170560610,S110000297,15143150,10021881.4,M100000001,12,N,문광초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,결산세출,92516810,99027780,65091250,65759110,92696740,S110000300,7789480,11429220.8,M100000001,12,N,백봉초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,1826050,N,0,복식부기,결산세출,109217640,52526070,70459120,141626350,197238090,S110000303,9339830,6469257.2,M100000001,12,N,보광초등학교,,,
공립,2,충청북도 증평군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,미지정,결산세출,218268990,200086880,449897150,431044140,700174614,S110000308,40961740,3129499.3,M100000001,12,N,삼보초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,미지정,결산세출,134212470,45557450,72733090,78064540,85221230,S110000311,9921400,14190339.3,M100000001,12,N,소수초등학교,초,2.0,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,미지정,결산세출,95790240,157214570,144287180,104546230,217169450,S110000314,13851010,12857169.8,M100000001,12,N,송면초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,결산세출,104993489,84381041,76162910,86337500,164698000,S110000323,5398270,18641828.9,M100000001,12,N,연풍초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,미지정,결산세출,120069020,89860980,79834970,174247720,100597280,S110000333,6515370,13929886.3,M100000001,12,N,장연초등학교,,,
공립,2,충청북도 증평군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,2868660,N,20476000,복식부기,결산세출,101642350,63143940,97548530,113050882,231361178,S110000338,16825480,6669247.6,M100000001,12,N,죽리초등학교,,,
공립,2,충청북도 증평군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,10677220,N,0,미지정,결산세출,464122270,305521840,606788750,624452580,998435630,S110000340,78091270,2623695.5,M100000001,12,N,증평초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,1452840,N,0,복식부기,결산세출,128710470,40263720,91472640,101435780,198160910,S110000341,10527670,15053263.9,M100000001,12,N,청안초등학교,,,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,8380000,N,11660620,복식부기,결산세출,126050450,198285900,62971006,79044410,195125640,S110000342,14448460,18809905.0,M100000001,12,N,청천초등학교,초,2.0,
공립,2,충청북도 괴산군,충청북도괴산증평교육지원청,충청북도교육청,M100000052,0,N,0,복식부기,결산세출,114172090,30211730,118383040,138099920,218562368,S110000346,10727340,12356009.6,M100000001,12,N,칠성초등학교,,,
공립,2,충청북도 단양군,충청북도단양교육지원청,충청북도교육청,M100000060,0,N,0,복식부기,결산세출,244378990,147731640,111536560,216947060,155934250,S110000358,51448990,61865166.0,M100000001,12,N,가곡초등학교,,,
공립,2,충청북도 단양군,충청북도단양교육지원청,충청북도교육청,M100000060,0,N,0,복식부기,결산세출,92655730,114949290,63748600,66976450,59552890,S110000364,4979010,12589436.6,M100000001,12,N,가평초등학교,초,2.0,
