파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
중등_예산_세입_2023.csv,1246208466.5852914,12182447.360390602,97538401.89197436,0.0,8535868.477265792,8504512.05370766,1372969696.36863,중등
중등_예산_세입_2022.csv,1185525223.4790585,13118894.52766738,94934214.0018343,0.0,6570482.726994803,10018138.489758484,1310166953.2253134,중등
중등_예산_세입_2024.csv,1325714328.5583663,12526283.450167632,110658782.68820481,0.0,10081716.854617495,8479715.330691863,1467460826.8820481,중등
고등_예산_세입_2023.csv,2865233230.769231,88950936.52795292,567606487.1794872,0.0,29519598.57082808,32152922.656578396,3583463175.7040777,고등
고등_예산_세입_2022.csv,2728872143.0918283,90448818.93428811,551272009.8753159,0.0,21879666.945661332,30223634.654170178,3422696273.5012636,고등
고등_예산_세입_2024.csv,3029055612.8625474,93352182.00924759,595320265.2374947,0.0,33663519.54602774,27945517.44430433,3779337097.0996222,고등
초등_예산_세입_2023.csv,775132254.3205962,8458130.807039797,230075085.30204535,0.0,7036434.279372126,13300271.127318852,1034002175.8363723,초등
초등_예산_세입_2022.csv,710593222.8562372,7059682.992550325,224532587.41480425,0.0,5039358.852433032,13101711.206213346,960326563.3222382,초등
초등_예산_세입_2024.csv,828591104.7286576,8772989.209774675,246061296.88987622,0.0,8530184.227229452,13099785.306251984,1105055360.36179,초등
combined_예산_세입_초등_평균,771438860.6351637,8096934.336454933,233556323.20224193,0.0,6868659.119678204,13167255.879928062,1033128033.1734667,초등
combined_예산_세입_중등_평균,1252482672.8742387,12609208.446075207,101043799.52733783,0.0,8396022.686292697,9000788.624719335,1383532492.158664,중등
combined_예산_세입_고등_평균,2874386995.5745354,90917312.49049622,571399587.430766,0.0,28354261.687505722,30107358.251684304,3595165515.434988,고등
combined_예산_세입_전체_평균,1632769509.694646,37207818.42434211,301999903.38678193,0.0,14539647.831158873,17425134.252110563,2003942013.5890393,전체
