파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
중등_예산_세입_2023.csv,4083825145000,39921880000,319633343000,0,27972041000,27869286000,4499221695000,중등
중등_예산_세입_2022.csv,3877853006000,42911904000,310529814000,0,21492049000,32769331000,4285556104000,중등
중등_예산_세입_2024.csv,4349668712000,41098736000,363071466000,0,33078113000,27821946000,4814738973000,중등
고등_예산_세입_2023.csv,6816389856000,211614278000,1350335833000,0,70227125000,76491803000,8525058895000,고등
고등_예산_세입_2022.csv,6478342467700,214725496150,1308719751444,0,51942329329,71750908669,8125480953292,고등
고등_예산_세입_2024.csv,7206123303000,222084841000,1416266911000,0,80085513000,66482386000,8991042954000,고등
초등_예산_세입_2023.csv,4888759128000,53345431000,1451083563000,0,44378791000,83884810000,6521451723000,초등
초등_예산_세입_2022.csv,4483132643000,44539540000,1416576094000,0,31793315000,82658696000,6058700288000,초등
초등_예산_세입_2024.csv,5221781142000,55287378000,1550678293000,0,53757221000,82554847000,6964058881000,초등
combined_예산_세입_초등_합계,14593672913000,153172349000,4418337950000,0,129929327000,249098353000,19544210892000,초등
combined_예산_세입_중등_합계,12311346863000,123932520000,993234623000,0,82542203000,88460563000,13599516772000,중등
combined_예산_세입_고등_합계,20500855626700,648424615150,4075322495444,0,202254967329,214725097669,25641582802292,고등
2023_합계,15788974129000,304881589000,3121052739000,0,142577957000,188245899000,19545732313000,
2022_합계,14839328116700,302176940150,3035825659444,0,105227693329,187178935669,18469737345292,
2024_합계,16777573157000,318470955000,3330016670000,0,166920847000,176859179000,20769840808000,
