파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
경기도교육청_중등_결산_세입_2023.csv,1400052936579.0,11498883570.0,61840117004.0,0.0,8366685079.0,43469532063.0,중등,661
경기도교육청_중등_결산_세입_2022.csv,1237934154464.0,10685217503.0,50024133154.0,0.0,5696455398.0,82107232508.0,중등,654
경기도교육청_고등_결산_세입_2024.csv,2180843849025.0,40267884779.0,285033620675.0,0.0,23508708863.0,161726341449.0,고등,490
경기도교육청_중등_결산_세입_2024.csv,1488299841436.0,14341813086.0,76655977878.0,0.0,11428804566.0,72278612603.0,중등,668
경기도교육청_고등_결산_세입_2023.csv,2038111712350.0,38445655706.0,224006533952.0,0.0,17514148014.0,83864319748.0,고등,487
경기도교육청_고등_결산_세입_2022.csv,1849108509465.0,41776469776.0,195640211374.0,0.0,13730352042.0,105674075507.0,고등,486
경기도교육청_초등_결산_세입_2024.csv,2341939462927.0,20833547980.0,292383673900.0,0.0,18422476123.0,68478032137.0,초등,1361
경기도교육청_초등_결산_세입_2022.csv,2112735779627.0,29939191560.0,120990563925.0,0.0,9109743824.0,205613996318.0,초등,1325
경기도교육청_초등_결산_세입_2023.csv,2199130225340.0,22281651040.0,240767900240.0,0.0,12703831230.0,71257172607.0,초등,1331
중등_평균,1376312769630.5713,12188212520.514372,62934086558.1765,0.0,8517550235.803833,65917097313.50429,중등,1983
고등_평균,2023130981228.0862,40162448517.886536,235023102456.00684,0.0,18264940887.286396,117187581492.60971,고등,1463
초등_평균,2219018383613.8813,24316844698.038338,218747511226.77744,0.0,13455862568.417477,114632920985.7416,초등,4017
전체_평균,1956701821612.0964,24200409052.91009,180536760704.27,0.0,13086441186.256466,102189398270.9488,전체,7463
