파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
경기도교육청_중등_결산_세입_2023.csv,1400052936579,11498883570,61840117004,0,8366685079,43469532063,중등
경기도교육청_중등_결산_세입_2022.csv,1237934154464,10685217503,50024133154,0,5696455398,82107232508,중등
경기도교육청_고등_결산_세입_2024.csv,2180843849025,40267884779,285033620675,0,23508708863,161726341449,고등
경기도교육청_중등_결산_세입_2024.csv,1488299841436,14341813086,76655977878,0,11428804566,72278612603,중등
경기도교육청_고등_결산_세입_2023.csv,2038111712350,38445655706,224006533952,0,17514148014,83864319748,고등
경기도교육청_고등_결산_세입_2022.csv,1849108509465,41776469776,195640211374,0,13730352042,105674075507,고등
경기도교육청_초등_결산_세입_2024.csv,2341939462927,20833547980,292383673900,0,18422476123,68478032137,초등
경기도교육청_초등_결산_세입_2022.csv,2112735779627,29939191560,120990563925,0,9109743824,205613996318,초등
경기도교육청_초등_결산_세입_2023.csv,2199130225340,22281651040,240767900240,0,12703831230,71257172607,초등
중등_합계,4126286932479,36525914159,188520228036,0,25491945043,197855377174,중등
고등_합계,6068064070840,120490010261,704680366001,0,54753208919,351264736704,고등
초등_합계,6653805467894,73054390580,654142138065,0,40236051177,345349201062,초등
2023_합계,5637294874269,72226190316,526614551196,0,38584664323,198591024418,전체
2022_합계,5199778443556,82400878839,366654908453,0,28536551264,393395304333,전체
2024_합계,6011083153388,75443245845,654073272453,0,53359989552,302482986189,전체
