파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
대구광역시교육청_고등_예산_세입_2022.csv,319340530000.0,5712949000.0,73674140000.0,0.0,2811370000.0,2118444000.0,고등,97
대구광역시교육청_고등_예산_세입_2023.csv,321418485000.0,6994259000.0,69268241000.0,0.0,4318446000.0,1436613000.0,고등,97
대구광역시교육청_고등_예산_세입_2024.csv,370994512000.0,7890984000.0,69522754000.0,0.0,4927365000.0,1193671000.0,고등,97
대구광역시교육청_초등_예산_세입_2022.csv,97229184000.0,740740000.0,89679959000.0,0.0,1721186000.0,1741488000.0,초등,241
대구광역시교육청_중등_예산_세입_2023.csv,167934644000.0,1877166000.0,16181472000.0,0.0,1481927000.0,1089374000.0,중등,129
대구광역시교육청_중등_예산_세입_2022.csv,165557819000.0,1987035000.0,17057780000.0,0.0,929749000.0,1280490000.0,중등,130
대구광역시교육청_초등_예산_세입_2023.csv,97209298000.0,1313764000.0,91512605000.0,0.0,2368858000.0,1482017000.0,초등,241
대구광역시교육청_초등_예산_세입_2024.csv,152450609000.0,1748020000.0,92004773000.0,0.0,3116661000.0,1343735000.0,초등,242
대구광역시교육청_중등_예산_세입_2024.csv,200705039000.0,1420885000.0,16241027000.0,0.0,2118036000.0,994101000.0,중등,128
고등_평균,337251175666.6667,6866064000.0,70821711666.66667,0.0,4019060333.3333335,1582909333.3333333,고등,291
초등_평균,115680554613.25967,1268171690.607735,91067075953.03868,0.0,2403221776.243094,1522166540.0552487,초등,724
중등_평균,177975014310.0775,1763158253.2299743,16495536806.20155,0.0,1506833490.9560723,1122061689.9224806,중등,387
전체_평균,178865295432.9529,2566706970.042796,66280637538.5164,0.0,2491172385.1640515,1424331715.406562,전체,1402
