파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
대구광역시교육청_고등_예산_세출_2024.csv,272571213000.0,58104225000.0,46280382000.0,19996072000.0,14640700000.0,37054362000.0,5656086000.0,226246000.0,764593120.6,고등,97
대구광역시교육청_고등_예산_세출_2023.csv,268510492000.0,43109657000.0,26646975000.0,19222647000.0,9559018000.0,34182156000.0,1861426000.0,343673000.0,674098818.1,고등,97
대구광역시교육청_고등_예산_세출_2022.csv,270554770000.0,44551609000.0,23023590000.0,21964550000.0,9345888000.0,31566141000.0,2093344000.0,557541000.0,668419775.3999999,고등,97
대구광역시교육청_중등_예산_세출_2024.csv,110836550000.0,39741804000.0,20774270000.0,10798879000.0,10704805000.0,27310419000.0,1162726000.0,149635000.0,623139274.4,중등,128
대구광역시교육청_초등_예산_세출_2024.csv,12213741000.0,83634558000.0,34542391000.0,55134458000.0,18175067000.0,42762526000.0,4014707000.0,186350000.0,767396403.7,초등,242
대구광역시교육청_중등_예산_세출_2022.csv,106736023000.0,15841810000.0,18486438000.0,10620134000.0,8852906000.0,25468160000.0,525713000.0,281689000.0,516441820.8,중등,130
대구광역시교육청_초등_예산_세출_2023.csv,11870478000.0,33540830000.0,34496374000.0,54158040000.0,15429469000.0,42142280000.0,1883193000.0,365878000.0,604253700.5,초등,241
대구광역시교육청_초등_예산_세출_2022.csv,17173206000.0,31578344000.0,31672568000.0,54896720000.0,15517194000.0,38539408000.0,1387891000.0,347226000.0,590981940.4000001,초등,241
대구광역시교육청_중등_예산_세출_2023.csv,106091836000.0,15206196000.0,19426313000.0,10436359000.0,9209166000.0,27351254000.0,605321000.0,238138000.0,539289983.1,중등,129
고등_평균,270545491666.66666,48588497000.0,31983649000.0,20394423000.0,11181868666.666666,34267553000.0,3203618666.6666665,375820000.0,702370571.3666666,고등,291
중등_평균,107877540656.33075,23534846242.89406,19556428622.739017,10617995459.94832,9584173731.26615,26705183974.160206,762940638.242894,223495224.80620155,559347988.7521964,중등,387
초등_평균,13750349676.79558,49631607693.37016,33571786801.104973,54730298337.01657,16376397785.911602,41150301243.093925,2430787759.668508,299661276.2430939,654367015.4037293,초등,724
전체_평균,93033237856.63338,42211499353.06705,29373433223.965763,35427016641.94009,13423331678.31669,35734366776.747505,2130814120.5420828,294444390.87018543,638102159.1063482,전체,1402
