파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
대구광역시교육청_고등_예산_세출_2024.csv,272571213000.0,58104225000.0,46280382000.0,19996072000.0,14640700000.0,37054362000.0,5656086000.0,226246000.0,764593120.6,고등
대구광역시교육청_고등_예산_세출_2023.csv,268510492000.0,43109657000.0,26646975000.0,19222647000.0,9559018000.0,34182156000.0,1861426000.0,343673000.0,674098818.1,고등
대구광역시교육청_고등_예산_세출_2022.csv,270554770000.0,44551609000.0,23023590000.0,21964550000.0,9345888000.0,31566141000.0,2093344000.0,557541000.0,668419775.3999999,고등
대구광역시교육청_중등_예산_세출_2024.csv,110836550000.0,39741804000.0,20774270000.0,10798879000.0,10704805000.0,27310419000.0,1162726000.0,149635000.0,623139274.4,중등
대구광역시교육청_초등_예산_세출_2024.csv,12213741000.0,83634558000.0,34542391000.0,55134458000.0,18175067000.0,42762526000.0,4014707000.0,186350000.0,767396403.7,초등
대구광역시교육청_중등_예산_세출_2022.csv,106736023000.0,15841810000.0,18486438000.0,10620134000.0,8852906000.0,25468160000.0,525713000.0,281689000.0,516441820.8,중등
대구광역시교육청_초등_예산_세출_2023.csv,11870478000.0,33540830000.0,34496374000.0,54158040000.0,15429469000.0,42142280000.0,1883193000.0,365878000.0,604253700.5,초등
대구광역시교육청_초등_예산_세출_2022.csv,17173206000.0,31578344000.0,31672568000.0,54896720000.0,15517194000.0,38539408000.0,1387891000.0,347226000.0,590981940.4000001,초등
대구광역시교육청_중등_예산_세출_2023.csv,106091836000.0,15206196000.0,19426313000.0,10436359000.0,9209166000.0,27351254000.0,605321000.0,238138000.0,539289983.1,중등
고등_합계,811636475000.0,145765491000.0,95950947000.0,61183269000.0,33545606000.0,102802659000.0,9610856000.0,1127460000.0,2107111714.1,고등
중등_합계,323664409000.0,70789810000.0,58687021000.0,31855372000.0,28766877000.0,80129833000.0,2293760000.0,669462000.0,1678871078.3000002,중등
초등_합계,41257425000.0,148753732000.0,100711333000.0,164189218000.0,49121730000.0,123444214000.0,7285791000.0,899454000.0,1962632044.6000001,초등
2024_합계,395621504000.0,181480587000.0,101597043000.0,85929409000.0,43520572000.0,107127307000.0,10833519000.0,562231000.0,2155128798.7,전체
2023_합계,386472806000.0,91856683000.0,80569662000.0,83817046000.0,34197653000.0,103675690000.0,4349940000.0,947689000.0,1817642501.6999998,전체
2022_합계,394463999000.0,91971763000.0,73182596000.0,87481404000.0,33715988000.0,95573709000.0,4006948000.0,1186456000.0,1775843536.6,전체
