파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
부산광역시교육청_고등_결산_세출_2024.csv,330606942251.0,152466486535.0,104776894588.0,37448853652.0,55997028613.0,63989412533.0,100466494519.0,2369524990.0,1883534832.8999996,고등
부산광역시교육청_고등_결산_세출_2023.csv,337330425511.0,135882347682.0,85917224491.0,36999809341.0,55137070404.0,55248727675.0,59845913515.0,3353191297.0,1702670932.1000001,고등
부산광역시교육청_고등_결산_세출_2022.csv,339471708140.0,135619438955.0,74359715403.0,32056664231.0,80764785444.0,52729821316.0,73640450955.0,5679387258.0,1732345351.3000002,고등
부산광역시교육청_중등_결산_세출_2024.csv,89013275210.0,125150166255.0,68422904910.0,20413073021.0,49851151811.0,50998136283.0,28352192975.0,1620986236.0,1197459303.0,중등
부산광역시교육청_중등_결산_세출_2022.csv,92377363314.0,108263573836.0,52837123182.0,19773825711.0,70356666352.0,43580286762.0,25221660901.0,925902205.0,1108506759.6,중등
부산광역시교육청_중등_결산_세출_2023.csv,91092254040.0,115844901027.0,55149941728.0,18764957613.0,46169543072.0,44707699985.0,24888960240.0,501557092.0,1102947470.1999998,중등
부산광역시교육청_초등_결산_세출_2024.csv,15641117534.0,218483425631.0,120963950030.0,153088875154.0,76943497465.0,99222624991.0,10285725580.0,486327279.0,2053167510.1,초등
부산광역시교육청_초등_결산_세출_2022.csv,20572056160.0,200046808514.0,93802357808.0,124953797061.0,104162756157.0,79228061509.0,8389144445.0,376879242.0,1798977577.3999999,초등
부산광역시교육청_초등_결산_세출_2023.csv,17965693266.0,203264876363.0,101530719485.0,138391121532.0,63201673380.0,85457883474.0,5246804180.0,224190333.0,1778419437.6000001,초등
고등_합계,1007409075902.0,423968273172.0,265053834482.0,106505327224.0,191898884461.0,171967961524.0,233952858989.0,11402103545.0,5318551116.3,고등
중등_합계,272482892564.0,349258641118.0,176409969820.0,58951856345.0,166377361235.0,139286123030.0,78462814116.0,3048445533.0,3408913532.7999997,중등
초등_합계,54178866960.0,621795110508.0,316297027323.0,416433793747.0,244307927002.0,263908569974.0,23921674205.0,1087396854.0,5630564525.1,초등
2024_합계,435261334995.0,496100078421.0,294163749528.0,210950801827.0,182791677889.0,214210173807.0,139104413074.0,4476838505.0,5134161646.0,전체
2023_합계,446388372817.0,454992125072.0,242597885704.0,194155888486.0,164508286856.0,185414311134.0,89981677935.0,4078938722.0,4584037839.900001,전체
2022_합계,452421127614.0,443929821305.0,220999196393.0,176784287003.0,255284207953.0,175538169587.0,107251256301.0,6982168705.0,4639829688.3,전체
