파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
울산광역시교육청_초등_결산_세입_2023.csv,226180816820.0,824713090.0,24209927273.0,0.0,1756218044.0,1431321154.0,초등,121
울산광역시교육청_초등_결산_세입_2022.csv,193426266060.0,889157910.0,18884741318.0,0.0,1015708380.0,2492551516.0,초등,121
울산광역시교육청_초등_결산_세입_2024.csv,177944627820.0,445340570.0,27921923699.0,0.0,2070334052.0,1041828413.0,초등,122
울산광역시교육청_중등_결산_세입_2022.csv,102990418050.0,1358308570.0,3451514000.0,0.0,515534361.0,1563846794.0,중등,64
울산광역시교육청_중등_결산_세입_2023.csv,142360260380.0,1046861160.0,4096691823.0,0.0,1053188433.0,577637268.0,중등,64
울산광역시교육청_고등_결산_세입_2022.csv,178553663555.0,6054584220.0,13895670020.0,0.0,1262146296.0,6356767061.0,고등,57
울산광역시교육청_고등_결산_세입_2023.csv,220596531600.0,6083165871.0,16189420900.0,0.0,2335900164.0,3332578371.0,고등,57
울산광역시교육청_중등_결산_세입_2024.csv,102261811440.0,994107010.0,7019940680.0,0.0,1413537176.0,442199442.0,중등,64
울산광역시교육청_고등_결산_세입_2024.csv,174758798710.0,5782451368.0,18330236210.0,0.0,2398451220.0,1271039622.0,고등,57
초등_평균,199125553908.02197,718983353.1318681,23683872502.167583,0.0,1615340251.7802198,1653548514.989011,초등,364
중등_평균,115870829956.66667,1133092246.6666667,4856048834.333333,0.0,994086656.6666666,861227834.6666666,중등,192
고등_평균,191302997955.0,5973400486.333333,16138442376.666666,0.0,1998832560.0,3653461684.6666665,고등,171
전체_평균,175298093018.57635,2064257407.2393398,16936677597.511692,0.0,1541470230.3823934,1914703372.4759285,전체,727
