파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
인천광역시교육청_고등_예산_세출_2024.csv,170992769000.0,51371454000.0,52962517000.0,16250609000.0,19989381000.0,48892401000.0,1473152000.0,643033000.0,853973101.6,고등
인천광역시교육청_고등_예산_세출_2023.csv,164409356000.0,42934222000.0,26392924000.0,13506470000.0,12727903000.0,41570691000.0,522837000.0,702447000.0,725194307.4999999,고등
인천광역시교육청_고등_예산_세출_2022.csv,163100657000.0,55309219000.0,24361337000.0,13400847000.0,13007243000.0,38130511000.0,412581000.0,774600000.0,752027338.7999998,고등
인천광역시교육청_중등_예산_세출_2024.csv,32923233000.0,33905411000.0,23346994000.0,11056665000.0,9449586000.0,30908651000.0,145486000.0,524827000.0,522074475.5,중등
인천광역시교육청_중등_예산_세출_2023.csv,31277834000.0,31503301000.0,15720430000.0,10143249000.0,8789079000.0,27181699000.0,513466000.0,557462000.0,487097218.0,중등
인천광역시교육청_중등_예산_세출_2022.csv,31340815000.0,63124788000.0,15320069000.0,11512996000.0,14874814000.0,35787405000.0,16245000.0,621452000.0,484886330.79999995,중등
인천광역시교육청_초등_예산_세출_2024.csv,23334730000.0,69540859000.0,52934454000.0,27431767000.0,19118027000.0,62018226000.0,1295000000.0,3097906000.0,837580416.3000001,초등
인천광역시교육청_초등_예산_세출_2023.csv,21361628000.0,66110181000.0,43691453000.0,31033199000.0,16948490000.0,52668946000.0,853340000.0,2622184000.0,619120681.0,초등
인천광역시교육청_초등_예산_세출_2022.csv,20182872000.0,133581002000.0,61259923000.0,63650579000.0,30836763000.0,64271290000.0,392906000.0,2734485000.0,946121162.0999999,초등
고등_합계,498502782000.0,149614895000.0,103716778000.0,43157926000.0,45724527000.0,128593603000.0,2408570000.0,2120080000.0,2331194747.8999996,고등
중등_합계,95541882000.0,128533500000.0,54387493000.0,32712910000.0,33113479000.0,93877755000.0,675197000.0,1703741000.0,1494058024.3,중등
초등_합계,64879230000.0,269232042000.0,157885830000.0,122115545000.0,66903280000.0,178958462000.0,2541246000.0,8454575000.0,2402822259.4,초등
2024_합계,227250732000.0,154817724000.0,129243965000.0,54739041000.0,48556994000.0,141819278000.0,2913638000.0,4265766000.0,2213627993.4,전체
2023_합계,217048818000.0,140547704000.0,85804807000.0,54682918000.0,38465472000.0,121421336000.0,1889643000.0,3882093000.0,1831412206.5,전체
2022_합계,214624344000.0,252015009000.0,100941329000.0,88564422000.0,58718820000.0,138189206000.0,821732000.0,4130537000.0,2183034831.7,전체
