파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
전북특별자치도교육청_고등_결산_세출_2024.csv,1898560734.443609,988568674.5112782,439275412.91729325,281330814.57894737,455822823.6917293,361013546.5488722,654239173.9473684,41420860.69924812,19957154.536842108,고등
전북특별자치도교육청_중등_결산_세출_2023.csv,515890485.0947867,306564792.53554505,144283656.3601896,67012028.36492891,178934959.7156398,178529661.90521327,125186157.58293839,2989872.9383886256,14402397.56047619,중등
전북특별자치도교육청_중등_결산_세출_2022.csv,527460751.421801,284793492.3886256,127952064.30805688,76467377.74881516,149618421.00473934,176662366.92890996,160257372.23696682,7467055.734597157,12299512.493838862,중등
전북특별자치도교육청_고등_결산_세출_2022.csv,1850430512.7218046,929750748.9323308,272529363.8270677,245108190.17293233,291994220.15037596,334088366.87218046,270205736.39097744,16304382.496240601,16095480.02932331,고등
전북특별자치도교육청_고등_결산_세출_2023.csv,1837502460.9323308,939446641.0526316,366210697.2706767,261687126.15037593,353993123.2330827,349456753.3383459,373202478.2105263,24758617.015037593,17706261.81879699,고등
전북특별자치도교육청_중등_결산_세출_2024.csv,571638150.4784689,341471814.83253586,172347827.49760765,77986462.62679426,241112175.1291866,173002827.91866028,164258144.64114833,1782687.1291866028,15322240.304784687,중등
전북특별자치도교육청_초등_결산_세출_2024.csv,24690267.214457832,304072806.81445783,166455496.32048193,204219970.01204818,157720930.19036144,169391315.71566266,3766697.108433735,1448637.156626506,12432568.95230024,초등
전북특별자치도교육청_초등_결산_세출_2023.csv,22892158.558753,270516917.3405276,161591461.4652278,221282138.20623502,126537221.4148681,183375173.01678658,6540831.151079137,1272021.582733813,12393325.735491605,초등
전북특별자치도교육청_초등_결산_세출_2022.csv,21461569.595238097,254403077.42619047,126775178.48095238,220183217.0,100651473.47142857,187022928.3857143,6458483.69047619,1631936.8333333333,11486769.352392346,초등
고등_평균,1862164569.365915,952588688.1654135,359338491.3383458,262708710.3007519,367270055.6917293,348186222.2531329,432549129.51629066,27494620.07017544,17919632.128320802,고등
중등_평균,538329795.6650189,310943366.58556885,148194516.0552847,73821956.24684612,189888518.61652192,176064952.25092784,149900558.15368453,4079871.9340574616,14008050.119699912,중등
초등_평균,23014665.12281631,276330933.860392,151607378.75555405,215228441.73942772,128303208.35888605,179929805.70605454,5588670.649996354,1450865.190897884,12104221.346728064,초등
