파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
전북특별자치도교육청_고등_예산_세입_2024.csv,2834188225.56391,34246120.30075188,501204518.7969925,0.0,16389571.42857143,20923368.42105263,고등
전북특별자치도교육청_고등_예산_세입_2022.csv,2770579939.849624,29974721.80451128,504682819.5488722,0.0,9865315.789473685,27226593.984962407,고등
전북특별자치도교육청_고등_예산_세입_2023.csv,2931796593.9849625,34533624.06015038,523482496.2406015,0.0,13780526.315789474,23136458.64661654,고등
전북특별자치도교육청_중등_예산_세입_2023.csv,962012265.4028436,4689886.255924171,75614933.6492891,0.0,3502767.7725118482,5305810.426540284,중등
전북특별자치도교육청_초등_예산_세입_2024.csv,468863250.60240966,7002096.385542168,115971342.16867469,0.0,2859975.9036144577,5236626.506024096,초등
전북특별자치도교육청_중등_예산_세입_2022.csv,930613876.7772512,3426805.6872037915,72683763.03317535,0.0,2456421.8009478673,6324682.464454976,중등
전북특별자치도교육청_초등_예산_세입_2022.csv,407832770.1421801,6499845.971563981,125500985.78199053,0.0,1222521.327014218,6656334.123222749,초등
전북특별자치도교육청_초등_예산_세입_2023.csv,454330155.1312649,7770642.004773269,123932105.01193318,0.0,2268167.0644391407,5051782.816229117,초등
전북특별자치도교육청_중등_예산_세입_2024.csv,993405861.2440192,4892861.244019139,77176813.3971292,0.0,3932473.6842105263,4811899.5215311,중등
고등_평균,2845521586.4661655,32918155.388471175,509789944.8621554,0.0,13345137.844611531,23762140.350877196,고등
중등_평균,962010667.8080379,4336517.7290490335,75158503.35986455,0.0,3297221.085890081,5480797.47084212,중등
초등_평균,443675391.9586182,7090861.453959807,121801477.65419948,0.0,2116888.098355939,5648247.815158654,초등
