파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
제주특별자치도교육청_중등_예산_세입_2024.csv,73939477000.0,1236942000.0,3328001000.0,0.0,346867000.0,444470000.0,중등,45
제주특별자치도교육청_고등_예산_세입_2023.csv,106116403000.0,1678717000.0,10147373000.0,0.0,1240546000.0,427396000.0,고등,30
제주특별자치도교육청_고등_예산_세입_2022.csv,97462671000.0,1553099000.0,10283193000.0,0.0,1012283000.0,531385000.0,고등,30
제주특별자치도교육청_중등_예산_세입_2023.csv,70605655000.0,1148756000.0,2897515000.0,0.0,269163000.0,356219000.0,중등,45
제주특별자치도교육청_중등_예산_세입_2022.csv,62266722000.0,739061000.0,2416513000.0,0.0,231293000.0,361394000.0,중등,45
제주특별자치도교육청_고등_예산_세입_2024.csv,122576797000.0,1855635000.0,9686189000.0,0.0,1184723000.0,556427000.0,고등,30
제주특별자치도교육청_초등_예산_세입_2023.csv,109836386000.0,874574000.0,10788718000.0,0.0,438181000.0,724799000.0,초등,118
제주특별자치도교육청_초등_예산_세입_2022.csv,93511219000.0,516067000.0,12711062000.0,0.0,319484000.0,2627821000.0,초등,118
제주특별자치도교육청_초등_예산_세입_2024.csv,111688667000.0,747673000.0,8947544000.0,0.0,537028000.0,1081762000.0,초등,118
중등_평균,68937284666.66667,1041586333.3333334,2880676333.3333335,0.0,282441000.0,387361000.0,중등,135
고등_평균,108718623666.66667,1695817000.0,10038918333.333334,0.0,1145850666.6666667,505069333.3333333,고등,90
초등_평균,105012090666.66667,712771333.3333334,10815774666.666666,0.0,431564333.3333333,1478127333.3333333,초등,354
전체_평균,97177011495.6822,942243069.0846287,8844867335.06045,0.0,507823607.9447323,1072551037.9965458,전체,579
