파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
충청남도교육청_중등_결산_세입_2023.csv,313028071900,2132305070,12393542814,0,1954991499,7152167322,중등
충청남도교육청_중등_결산_세입_2022.csv,274066305360,2073123340,8541516970,0,986306743,12901423828,중등
충청남도교육청_중등_결산_세입_2024.csv,315261033910,2674485840,17978312760,0,5191159085,4614720150,중등
충청남도교육청_초등_결산_세입_2024.csv,486108461400,5930291920,31188601660,0,4186993061,7576549471,초등
충청남도교육청_초등_결산_세입_2023.csv,470989573220,3470545400,29148556950,0,2379828546,5275848509,초등
충청남도교육청_초등_결산_세입_2022.csv,412452126400,3425051770,23834664467,0,1316658428,5651877556,초등
충청남도교육청_고등_결산_세입_2024.csv,487610407950,52384549920,64805061265,0,20053593784,14419921692,고등
충청남도교육청_고등_결산_세입_2022.csv,436170323660,24676355640,47428616380,0,2494566362,20691333660,고등
충청남도교육청_고등_결산_세입_2023.csv,484698316300,26398519180,54743739215,0,4391829952,35586224793,고등
중등_합계,902355411170,6879914250,38913372544,0,8132457327,24668311300,중등
초등_합계,1369550161020,12825889090,84171823077,0,7883480035,18504275536,초등
고등_합계,1408479047910,103459424740,166977416860,0,26939990098,70697480145,고등
2023_합계,1268715961420,32001369650,96285838979,0,8726649997,48014240624,전체
2022_합계,1122688755420,30174530750,79804797817,0,4797531533,39244635044,전체
2024_합계,1288979903260,60989327680,113971975685,0,29431745930,26611191313,전체
