파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
사립_중등_예산_세출_2022.csv,2387977884.6761456,261684116.9036335,123353859.39968404,63681996.84044234,92454434.43917853,207231453.3965245,58717249.605055295,3657157.977883096,14431331.89415482,3213189485.1327014,중등
사립_중등_예산_세출_2023.csv,2410868159.810127,300688626.5822785,145479390.8227848,58960224.6835443,100597406.64556962,226185680.3797468,58180338.60759494,3168398.734177215,15635838.41487342,3319764064.680697,중등
사립_중등_예산_세출_2024.csv,2464849045.886076,316832325.9493671,155691204.11392406,64143386.07594936,102948882.9113924,240001715.18987343,52594930.37974683,3708686.70886076,16149534.49256329,3416919711.7077527,중등
사립_초등_예산_세출_2024.csv,2890044534.2465754,805076054.7945205,724890506.849315,692328095.8904109,316256013.69863015,490871136.98630136,521056493.15068495,49241849.31506849,12731981.428767124,6502496666.360273,초등
사립_초등_예산_세출_2022.csv,2664329739.7260275,652652095.8904109,595805712.3287672,591525808.2191781,241693287.67123288,426818397.260274,351637219.17808217,34809835.61643836,10628121.15479452,5569900217.045206,초등
사립_초등_예산_세출_2023.csv,2767019589.0410957,722916479.4520547,669761931.5068493,640088287.6712328,292022438.3561644,464995260.27397263,470503383.56164384,43711369.8630137,11705060.064383565,6082723799.79041,초등
사립_고등_예산_세출_2024.csv,4510425387.301587,945605517.4603176,292034839.15343916,155081952.3809524,172485319.57671958,449645830.6878307,183147347.0899471,16082103.703703703,14159469.357777776,6738667766.7122755,고등
사립_고등_예산_세출_2022.csv,4434228779.205291,830169704.3005291,206739215.8179894,161323008.63809523,147022561.65185186,381166556.7767196,125476408.23280424,17687057.14285714,13413340.30063492,6317226632.066773,고등
사립_고등_예산_세출_2023.csv,4443716245.5026455,884433921.6931217,257295292.0634921,151500352.3809524,171593615.87301588,412927516.4021164,179276702.64550266,15941911.111111112,13964934.2345339,6530650491.906492,고등
초등_평균,2773797954.3378997,726881543.3789953,663486050.2283105,641314063.9269406,283323913.24200916,460894931.5068493,447732365.29680365,42587684.93150685,11688387.54931507,6051706894.398629,초등
중등_평균,2421231696.790783,293068356.4784264,141508151.44546428,62261869.19997867,98666907.99871351,224472949.65538156,56497506.19746569,3511414.4736403567,15405568.267197177,3316624420.50705,중등
고등_평균,4462790137.336508,886736381.1513227,252023115.6783069,155968437.79999998,163700499.03386244,414579967.9555556,162633485.989418,16570357.319223985,13845914.630982198,6528848296.89518,고등
