파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
경기도교육청_사립_초등_예산_세입_2022.csv,1487025000.0,1084354000.0,16548008000.0,0.0,264827000.0,1040010000.0,초등,3
경기도교육청_사립_초등_예산_세입_2023.csv,1944640000.0,1171928000.0,18074772000.0,0.0,342500000.0,1040010000.0,초등,3
경기도교육청_사립_초등_예산_세입_2024.csv,3202404000.0,1306495000.0,18956170000.0,0.0,348808000.0,1040010000.0,초등,3
경기도교육청_사립_중등_예산_세입_2022.csv,260296109000.0,4195041000.0,21927947000.0,0.0,1282085000.0,850002000.0,중등,87
경기도교육청_사립_고등_예산_세입_2022.csv,738984216000.0,30054355000.0,188631704000.0,0.0,6672995000.0,6236181000.0,고등,136
경기도교육청_사립_고등_예산_세입_2023.csv,765242361000.0,23839984000.0,199562316000.0,0.0,7265226000.0,5022645000.0,고등,136
경기도교육청_사립_중등_예산_세입_2023.csv,270019298000.0,4666472000.0,23036832000.0,0.0,1055659000.0,774689000.0,중등,87
경기도교육청_사립_중등_예산_세입_2024.csv,283042615000.0,7415680000.0,25446948000.0,0.0,1452633000.0,1441370000.0,중등,87
경기도교육청_사립_고등_예산_세입_2024.csv,814947682000.0,29557361000.0,208846625000.0,0.0,9202447000.0,7940891000.0,고등,136
초등_평균,2211356333.3333335,1187592333.3333333,17859650000.0,0.0,318711666.6666667,1040010000.0,초등,9
중등_평균,271119340666.66666,5425731000.0,23470575666.666668,0.0,1263459000.0,1022020333.3333334,중등,261
고등_평균,773058086333.3334,27817233333.333332,199013548333.33334,0.0,7713556000.0,6399905666.666667,고등,408
전체_평균,569601400213.8643,18844004899.705013,129032573479.35103,0.0,5132392407.079646,4258508715.339233,전체,678
