파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
경상남도교육청_사립_중등_결산_세출_2022.csv,142735969382.0,32089088569.0,10420388410.0,4480491561.0,16096282108.0,12743991086.0,36281830543.0,272521250.0,2003456814.0000002,중등
경상남도교육청_사립_고등_결산_세출_2024.csv,272620150770.0,104922824309.0,28751495305.0,21499877765.0,61450668744.0,26030607827.0,83198333320.0,3923029100.0,1710042686.8,고등
경상남도교육청_사립_중등_결산_세출_2023.csv,146819508740.0,35380067412.0,12990201025.0,4877041939.0,19040304300.0,13685201838.0,41488601960.0,1053519840.0,2051273285.9,중등
경상남도교육청_사립_중등_결산_세출_2024.csv,146879662705.0,37680536226.0,15242973712.0,5745345016.0,22875361098.0,15457572673.0,43023462400.0,1334789750.0,2296175683.3999996,중등
경상남도교육청_사립_고등_결산_세출_2023.csv,276346992083.0,94819841925.0,24483061076.0,17851680733.0,29407348022.0,22267120151.0,73283319251.0,2157994278.0,1579734524.2,고등
경상남도교육청_사립_고등_결산_세출_2022.csv,277629699506.0,86382318560.0,18578214696.0,15285266782.0,31156901811.0,20505974144.0,47499537728.0,594902131.0,1410740793.8000002,고등
경상남도교육청_사립_초등_결산_세출_2024.csv,3691368960.0,1521664360.0,525402560.0,1059508340.0,423527960.0,436513040.0,2261288540.0,98636290.0,26062091.6,초등
경상남도교육청_사립_초등_결산_세출_2022.csv,3559812660.0,1482594610.0,329493520.0,929724810.0,330143450.0,326187810.0,1620266030.0,62537310.0,20992711.799999997,초등
경상남도교육청_사립_초등_결산_세출_2023.csv,3732827090.0,1446406350.0,444896080.0,1083019750.0,337885090.0,349144950.0,1229539770.0,5907160.0,21132720.0,초등
중등_합계,436435140827.0,105149692207.0,38653563147.0,15102878516.0,58011947506.0,41886765597.0,120793894903.0,2660830840.0,6350905783.3,중등
고등_합계,826596842359.0,286124984794.0,71812771077.0,54636825280.0,122014918577.0,68803702122.0,203981190299.0,6675925509.0,4700518004.8,고등
초등_합계,10984008710.0,4450665320.0,1299792160.0,3072252900.0,1091556500.0,1111845800.0,5111094340.0,167080760.0,68187523.4,초등
2022_합계,423925481548.0,119954001739.0,29328096626.0,20695483153.0,47583327369.0,33576153040.0,85401634301.0,929960691.0,3435190319.6000004,전체
2024_합계,423191182435.0,144125024895.0,44519871577.0,28304731121.0,84749557802.0,41924693540.0,128483084260.0,5356455140.0,4032280461.7999997,전체
2023_합계,426899327913.0,131646315687.0,37918158181.0,23811742422.0,48785537412.0,36301466939.0,116001460981.0,3217421278.0,3652140530.1000004,전체
