파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
경상북도교육청_사립_고등_결산_세입_2024.csv,675911466864.0,23682503707.0,62136627123.0,0.0,4478742649.0,83088107510.0,고등,91
경상북도교육청_사립_고등_결산_세입_2023.csv,702614588543.0,19972025594.0,54934246527.0,0.0,3331247837.0,46644807029.0,고등,91
경상북도교육청_사립_고등_결산_세입_2022.csv,617351045660.0,18429023932.0,52860704766.0,0.0,1896634344.0,72561478740.0,고등,91
경상북도교육청_사립_중등_결산_세입_2022.csv,264196847773.0,4518711968.0,4602301856.0,0.0,432592480.0,10061892642.0,중등,73
경상북도교육청_사립_중등_결산_세입_2023.csv,295422416770.0,4806995875.0,5071114807.0,0.0,910094381.0,5832648260.0,중등,73
경상북도교육청_사립_중등_결산_세입_2024.csv,280800304824.0,5455150390.0,6674025471.0,0.0,1073102305.0,13827100362.0,중등,73
경상북도교육청_사립_초등_결산_세입_2024.csv,17139900460.0,933874850.0,685957296.0,0.0,145506251.0,184320145.0,초등,2
경상북도교육청_사립_초등_결산_세입_2022.csv,13547936300.0,1138183871.0,548171510.0,0.0,30330037.0,369065000.0,초등,2
경상북도교육청_사립_초등_결산_세입_2023.csv,16917390450.0,945138700.0,590768140.0,0.0,67914411.0,10867326.0,초등,2
고등_평균,665292367022.3334,20694517744.333332,56643859472.0,0.0,3235541610.0,67431464426.333336,고등,273
중등_평균,280139856455.6667,4926952744.333333,5449147378.0,0.0,805263055.3333334,9907213754.666666,중등,219
초등_평균,15868409070.0,1005732473.6666666,608298982.0,0.0,81250233.0,188084157.0,초등,6
전체_평균,488093685171.3012,13523374277.216867,33455394991.024097,0.0,2128801144.6706827,41324494187.95783,전체,498
