파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
경상북도교육청_사립_중등_결산_세출_2024.csv,154223772402.0,36693524028.0,20950161394.0,10957081782.0,13952388914.0,14093772147.0,46979640373.0,2646338367.0,1912317602.6,중등
경상북도교육청_사립_중등_결산_세출_2023.csv,152537173833.0,33074521775.0,21795614032.0,10381284899.0,18644334402.0,14283414222.0,43632163068.0,3867663500.0,1734233266.6,중등
경상북도교육청_사립_중등_결산_세출_2022.csv,150888676520.0,30657870312.0,13976301601.0,11605720843.0,16214558560.0,12820309607.0,39462038857.0,2347313528.0,1672132794.3999999,중등
경상북도교육청_사립_고등_결산_세출_2022.csv,301757745159.0,120221337797.0,29710696798.0,33709496669.0,46243205133.0,33274010539.0,141473411786.0,10051476832.0,2202080729.4000006,고등
경상북도교육청_사립_고등_결산_세출_2023.csv,303517384427.0,122446129203.0,51982796490.0,37393919125.0,45045350227.0,36279480664.0,135217066238.0,12526131246.0,2471652363.1,고등
경상북도교육청_사립_고등_결산_세출_2024.csv,302844888430.0,133168406112.0,50260407109.0,35298417186.0,38675293399.0,39039513594.0,183678558943.0,7454280156.0,2556083148.6,고등
경상북도교육청_사립_초등_결산_세출_2023.csv,8933394820.0,2467050400.0,1338480278.0,1172285635.0,750568653.0,969669956.0,2608032140.0,108277000.0,16248064.2,초등
경상북도교육청_사립_초등_결산_세출_2022.csv,8365043480.0,2351979515.0,968312818.0,1186098526.0,575027399.0,888219026.0,959158128.0,328980500.0,14504677.5,초등
경상북도교육청_사립_초등_결산_세출_2024.csv,8617037190.0,2816934376.0,1537549270.0,1470510140.0,1301361454.0,941558092.0,1901054760.0,495494000.0,17048774.700000003,초등
중등_합계,457649622755.0,100425916115.0,56722077027.0,32944087524.0,48811281876.0,41197495976.0,130073842298.0,8861315395.0,5318683663.599999,중등
고등_합계,908120018016.0,375835873112.0,131953900397.0,106401832980.0,129963848759.0,108593004797.0,460369036967.0,30031888234.0,7229816241.1,고등
초등_합계,25915475490.0,7635964291.0,3844342366.0,3828894301.0,2626957506.0,2799447074.0,5468245028.0,932751500.0,47801516.400000006,초등
2024_합계,465685698022.0,172678864516.0,72748117773.0,47726009108.0,53929043767.0,54074843833.0,232559254076.0,10596112523.0,4485449525.9,전체
2023_합계,464987953080.0,157987701378.0,75116890800.0,48947489659.0,64440253282.0,51532564842.0,181457261446.0,16502071746.0,4222133693.8999996,전체
2022_합계,461011465159.0,153231187624.0,44655311217.0,46501316038.0,63032791092.0,46982539172.0,181894608771.0,12727770860.0,3888718201.3,전체
