파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
대구광역시교육청_사립_고등_결산_세출_2023.csv,5515646797.183674,1338768830.0,569444857.1632653,412827653.877551,840780622.8163265,494830368.20408165,658043138.3877552,27115236.14285714,15986636.47755102,고등
대구광역시교육청_사립_고등_결산_세출_2022.csv,5575732278.081633,1264983783.2244897,411328046.2244898,413223578.6530612,534981830.2653061,444493801.36734694,438328125.0408163,16199428.142857144,13593373.873469386,고등
대구광역시교육청_사립_고등_결산_세출_2024.csv,5543662626.244898,1398762430.142857,679489069.6122448,353766008.0,943527360.9795918,540082027.1428572,1103848311.2448978,18504378.755102042,17009449.095918365,고등
대구광역시교육청_사립_초등_결산_세출_2022.csv,2365266095.0,1352981822.5,655570732.5,435472812.5,331703979.25,359391060.75,392564877.5,368081.25,10439511.575000001,초등
대구광역시교육청_사립_중등_결산_세출_2024.csv,3125841154.382353,705412930.117647,424618594.5588235,138214399.5,289113176.9117647,350076052.5294118,650605496.8529412,153159365.70588234,14822364.350000001,중등
대구광역시교육청_사립_초등_결산_세출_2023.csv,2348210130.5,1430380882.75,818879553.5,469016420.0,368024810.75,416120156.25,125137677.5,0.0,10751666.025,초등
대구광역시교육청_사립_초등_결산_세출_2024.csv,2432211256.25,1356269566.25,1031233055.75,556683112.5,414566644.75,444846309.5,355929922.5,0.0,11830573.075,초등
대구광역시교육청_사립_중등_결산_세출_2023.csv,3040038235.529412,707951614.4411764,359726184.88235295,123104139.1764706,362224745.0882353,319474131.85294116,297823793.4117647,12225667.264705881,12975366.829411764,중등
대구광역시교육청_사립_중등_결산_세출_2022.csv,3025759119.7058825,680622367.5,294693782.7647059,116734780.11764705,379238334.2647059,299726496.38235295,259707195.0,4581577.05882353,13440506.11764706,중등
고등_평균,5545013900.503402,1334171681.122449,553420657.6666666,393272413.5102041,773096604.6870748,493135398.90476197,733406524.8911566,20606347.680272106,15529819.815646255,고등
초등_평균,2381895827.25,1379877423.8333333,835227780.5833334,487057448.3333333,371431811.5833333,406785842.1666667,291210825.8333333,122693.75,11007250.225,초등
중등_평균,3063879503.2058825,697995637.3529412,359679520.7352941,126017772.93137254,343525418.75490195,323092226.92156863,402712161.75490195,56655536.67647058,13746079.099019608,중등
