파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
부산광역시교육청_사립_초등_예산_세출_2024.csv,14667881000.0,7524294000.0,4971484000.0,4159608000.0,1567631000.0,2474985000.0,6583324000.0,543076000.0,121203984.2,초등,6
부산광역시교육청_사립_초등_예산_세출_2022.csv,12524952000.0,5872909000.0,3998828000.0,3122690000.0,1783201000.0,1950802000.0,1000100000.0,195120000.0,77926744.0,초등,6
부산광역시교육청_사립_초등_예산_세출_2023.csv,13359916000.0,6766981000.0,4459068000.0,3979195000.0,1541280000.0,2243847000.0,1821208000.0,125000000.0,93186116.4,초등,6
부산광역시교육청_사립_중등_예산_세출_2022.csv,88976613000.0,15061757000.0,5610576000.0,2028223000.0,5214254000.0,7852691000.0,709562000.0,127366000.0,408644397.20000005,중등,35
부산광역시교육청_사립_고등_예산_세출_2024.csv,332977012000.0,78154491000.0,27291620000.0,8575877000.0,10817889000.0,29575932000.0,43495714000.0,439595000.0,1196683370.6999998,고등,75
부산광역시교육청_사립_중등_예산_세출_2023.csv,88428552000.0,16050701000.0,5809272000.0,2093315000.0,5196026000.0,8915642000.0,1338814000.0,97090000.0,418006271.5,중등,35
부산광역시교육청_사립_중등_예산_세출_2024.csv,89523755000.0,18204847000.0,6544794000.0,2058930000.0,5983571000.0,9115653000.0,2594603000.0,87594000.0,446192018.40000004,중등,35
부산광역시교육청_사립_고등_예산_세출_2022.csv,336450477000.0,68559510000.0,18856264000.0,9506774000.0,17593567000.0,25060655000.0,31096646000.0,2698355000.0,1137656250.2999997,고등,75
부산광역시교육청_사립_고등_예산_세출_2023.csv,331044098000.0,72733537000.0,28222357000.0,8855348000.0,16839290000.0,28084882000.0,19690428000.0,598928000.0,1131428092.0000002,고등,75
초등_평균,13517583000.0,6721394666.666667,4476460000.0,3753831000.0,1630704000.0,2223211333.3333335,3134877333.3333335,287732000.0,97438948.2,초등,18
중등_평균,88976306666.66667,16439101666.666666,5988214000.0,2060156000.0,5464617000.0,8627995333.333334,1547659666.6666667,104016666.66666667,424280895.7,중등,105
고등_평균,333490529000.0,73149179333.33333,24790080333.333332,8979333000.0,15083582000.0,27573823000.0,31427596000.0,1245626000.0,1155255904.3333333,고등,225
전체_평균,243164361261.49426,52602460140.804596,18066398922.41379,6621365698.275862,11485469560.344828,20546170945.402298,20948681485.632183,851628666.6666666,879988429.8594826,전체,348
