파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
서울특별시교육청_사립_중등_예산_세출_2023.csv,338001120000.0,12881509000.0,20065228000.0,7889839000.0,13516318000.0,35873940000.0,3739840000.0,402582000.0,1111154347.0,중등,109
서울특별시교육청_사립_중등_예산_세출_2022.csv,338452028000.0,12691274000.0,16718288000.0,9535675000.0,11217867000.0,32171419000.0,2430676000.0,448685000.0,1044192161.2,중등,109
서울특별시교육청_사립_고등_예산_세출_2024.csv,1048780167000.0,86847844000.0,37456743000.0,35709078000.0,47741300000.0,114754733000.0,21830124000.0,10151746000.0,2298924713.6,고등,200
서울특별시교육청_사립_중등_예산_세출_2024.csv,343751497000.0,9211078000.0,19699882000.0,8328098000.0,11972006000.0,35951126000.0,2464217000.0,332615000.0,1137642828.5999997,중등,109
서울특별시교육청_사립_고등_예산_세출_2022.csv,1032449117000.0,89019816000.0,30767359000.0,35290917000.0,35803826000.0,98963408000.0,18209061000.0,9778788000.0,2127171685.2000003,고등,200
서울특별시교육청_사립_고등_예산_세출_2023.csv,1032261782000.0,89885036000.0,35554947000.0,35932459000.0,47372139000.0,107761870000.0,36211336000.0,10458865000.0,2273195885.3,고등,200
서울특별시교육청_사립_초등_예산_세출_2024.csv,123370481000.0,27191851000.0,27701479000.0,30530864000.0,14443617000.0,22789458000.0,25880886000.0,594641000.0,477105066.59999996,초등,38
서울특별시교육청_사립_초등_예산_세출_2022.csv,113348332000.0,22019574000.0,23011718000.0,27169379000.0,10637759000.0,20442439000.0,20228642000.0,542119000.0,419667582.8,초등,38
서울특별시교육청_사립_초등_예산_세출_2023.csv,117779943000.0,24886597000.0,26002824000.0,28140319000.0,12764663000.0,22016486000.0,25380636000.0,1157245000.0,454654439.09999996,초등,38
중등_평균,340068215000.0,11594620333.333334,18827799333.333332,8584537333.333333,12235397000.0,34665495000.0,2878244333.3333335,394627333.3333333,1097663112.2666664,중등,327
고등_평균,1037830355333.3334,88584232000.0,34593016333.333336,35644151333.333336,43639088333.333336,107160003666.66667,25416840333.333332,10129799666.666666,2233097428.0333333,고등,600
초등_평균,118166252000.0,24699340666.666668,25572007000.0,28613520666.666668,12615346333.333334,21749461000.0,23830054666.666668,764668333.3333334,450475696.1666667,초등,114
전체_평균,717936092442.8434,57404135336.21518,28652938501.44092,26374232338.136406,30377115562.92027,75034637482.22862,18163224139.289146,6046200891.450528,1681218562.818636,전체,1041
