파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
전라남도교육청_사립_고등_예산_세입_2024.csv,213234089000,4191826000,30552582000,0,898326000,222008000,고등
전라남도교육청_사립_고등_예산_세입_2023.csv,207694618000,4717716000,30086208000,0,630029000,191931000,고등
전라남도교육청_사립_고등_예산_세입_2022.csv,208273177000,5010095000,29823449000,0,512088000,271363000,고등
전라남도교육청_사립_초등_예산_세입_2024.csv,11252164000,836290000,970668000,0,72266000,11050000,초등
전라남도교육청_사립_초등_예산_세입_2023.csv,11149742000,1432570000,957737000,0,59542000,13050000,초등
전라남도교육청_사립_초등_예산_세입_2022.csv,8932159000,1710292000,1009485000,0,15645000,9115000,초등
전라남도교육청_사립_중등_예산_세입_2023.csv,88909179000,861844000,3370061000,0,256452000,172100000,중등
전라남도교육청_사립_중등_예산_세입_2022.csv,84106239000,1138770000,3587985000,0,217796000,205947000,중등
전라남도교육청_사립_중등_예산_세입_2024.csv,87396427000,970376000,3151206000,0,306518000,154786000,중등
고등_합계,629201884000,13919637000,90462239000,0,2040443000,685302000,고등
초등_합계,31334065000,3979152000,2937890000,0,147453000,33215000,초등
중등_합계,260411845000,2970990000,10109252000,0,780766000,532833000,중등
2024_합계,311882680000,5998492000,34674456000,0,1277110000,387844000,전체
2023_합계,307753539000,7012130000,34414006000,0,946023000,377081000,전체
2022_합계,301311575000,7859157000,34420919000,0,745529000,486425000,전체
