파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
전북특별자치도교육청_사립_고등_결산_세입_2022.csv,383782084606,4051881799,37154348201,0,1060990113,16623863819,고등
전북특별자치도교육청_사립_고등_결산_세입_2023.csv,418276525270,3600895357,36639888858,0,1449268455,15912142335,고등
전북특별자치도교육청_사립_고등_결산_세입_2024.csv,489964057598,4843380453,40454988662,0,4015687894,21538356476,고등
전북특별자치도교육청_사립_중등_결산_세입_2022.csv,184803772360,1466279063,5543437427,0,459711288,11526323545,중등
전북특별자치도교육청_사립_중등_결산_세입_2023.csv,185875653010,1142259500,5904389935,0,522395478,10203629811,중등
전북특별자치도교육청_사립_중등_결산_세입_2024.csv,195909781080,2611771318,7182069757,0,1177786578,21185591691,중등
고등_합계,1292022667474,12496157609,114249225721,0,6525946462,54074362630,고등
중등_합계,566589206450,5220309881,18629897119,0,2159893344,42915545047,중등
2022_합계,568585856966,5518160862,42697785628,0,1520701401,28150187364,전체
2023_합계,604152178280,4743154857,42544278793,0,1971663933,26115772146,전체
2024_합계,685873838678,7455151771,47637058419,0,5193474472,42723948167,전체
