파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
충청북도교육청_사립_고등_결산_세입_2022.csv,137601782525,1543849621,6393649973,0,384356586,3856231668,고등
충청북도교육청_사립_고등_결산_세입_2023.csv,154634342297,1542646874,8143926863,0,1289820486,2772034602,고등
충청북도교육청_사립_고등_결산_세입_2024.csv,153581713078,1764746113,8384321444,0,1614297826,15049260726,고등
충청북도교육청_사립_중등_결산_세입_2024.csv,66302367150,1183039876,1551345880,0,326648094,756695048,중등
충청북도교육청_사립_중등_결산_세입_2023.csv,62726279394,984799771,1328824982,0,441604553,1576197309,중등
충청북도교육청_사립_중등_결산_세입_2022.csv,65357578580,849996308,821965590,0,203952303,1107905748,중등
충청북도교육청_사립_초등_결산_세입_2023.csv,545815800,1350000,5417027850,0,113487218,209692985,초등
충청북도교육청_사립_초등_결산_세입_2022.csv,661509330,1200000,4609926050,0,26635793,336651892,초등
충청북도교육청_사립_초등_결산_세입_2024.csv,658894070,1300000,5968004690,0,150614131,132593923,초등
고등_합계,445817837900,4851242608,22921898280,0,3288474898,21677526996,고등
중등_합계,194386225124,3017835955,3702136452,0,972204950,3440798105,중등
초등_합계,1866219200,3850000,15994958590,0,290737142,678938800,초등
2022_합계,203620870435,2395045929,11825541613,0,614944682,5300789308,전체
2023_합계,217906437491,2528796645,14889779695,0,1844912257,4557924896,전체
2024_합계,220542974298,2949085989,15903672014,0,2091560051,15938549697,전체
