파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
충청북도교육청_사립_초등_예산_세입_2024.csv,559605000.0,1000000.0,6081537000.0,0.0,37588000.0,183963000.0,초등,1
충청북도교육청_사립_초등_예산_세입_2022.csv,454907000.0,1000000.0,4874977000.0,0.0,13150000.0,150000000.0,초등,1
충청북도교육청_사립_초등_예산_세입_2023.csv,489994000.0,1000000.0,5656886000.0,0.0,18511000.0,156672000.0,초등,1
충청북도교육청_사립_고등_예산_세입_2024.csv,123911504000.0,1144362000.0,10443960000.0,0.0,578580000.0,1087203000.0,고등,21
충청북도교육청_사립_중등_예산_세입_2022.csv,52171993000.0,851401000.0,1809212000.0,0.0,99777000.0,473530000.0,중등,19
충청북도교육청_사립_중등_예산_세입_2023.csv,54336005000.0,853770000.0,1499274000.0,0.0,121178000.0,444492000.0,중등,19
충청북도교육청_사립_고등_예산_세입_2022.csv,107644366000.0,1010995000.0,10780482000.0,0.0,240031000.0,682112000.0,고등,21
충청북도교육청_사립_중등_예산_세입_2024.csv,54851381000.0,1167458000.0,1669112000.0,0.0,169572000.0,473364000.0,중등,19
충청북도교육청_사립_고등_예산_세입_2023.csv,120014655000.0,1069116000.0,10144144000.0,0.0,342271000.0,936216000.0,고등,21
초등_평균,501502000.0,1000000.0,5537800000.0,0.0,23083000.0,163545000.0,초등,3
고등_평균,117190175000.0,1074824333.3333333,10456195333.333334,0.0,386960666.6666667,901843666.6666666,고등,63
중등_평균,53786459666.666664,957543000.0,1659199333.3333333,0.0,130175666.66666667,463795333.3333333,중등,57
전체_평균,84961900260.1626,994283609.7560976,6259577788.617887,0.0,259087674.79674795,680838373.9837399,전체,123
