파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
충청북도교육청_사립_초등_예산_세출_2023.csv,2385691000.0,1175397000.0,1033422000.0,303951000.0,282463000.0,292139000.0,840000000.0,10000000.0,11517418.9,초등
충청북도교육청_사립_초등_예산_세출_2022.csv,2231739000.0,981042000.0,837307000.0,183420000.0,177288000.0,273238000.0,800000000.0,10000000.0,10193013.0,초등
충청북도교육청_사립_초등_예산_세출_2024.csv,2605957000.0,1269516000.0,1298087000.0,302440000.0,208071000.0,299622000.0,870000000.0,10000000.0,12640318.6,초등
충청북도교육청_사립_고등_예산_세출_2023.csv,77959188000.0,21803034000.0,8408250000.0,3170014000.0,4671700000.0,8495029000.0,7751921000.0,247266000.0,284326499.09999996,고등
충청북도교육청_사립_중등_예산_세출_2024.csv,36987445000.0,9262974000.0,2915142000.0,1056240000.0,2932272000.0,3893402000.0,1172942000.0,110470000.0,408244183.1,중등
충청북도교육청_사립_고등_예산_세출_2022.csv,77341235000.0,20158225000.0,4747902000.0,3374672000.0,3776164000.0,7339365000.0,3367393000.0,253030000.0,254405055.9,고등
충청북도교육청_사립_중등_예산_세출_2023.csv,35616006000.0,8372824000.0,3175809000.0,853223000.0,4562502000.0,3791827000.0,755252000.0,127276000.0,419455588.40000004,중등
충청북도교육청_사립_중등_예산_세출_2022.csv,35905572000.0,7599635000.0,2385737000.0,819770000.0,3353744000.0,3240474000.0,1963384000.0,137597000.0,436955010.79999995,중등
충청북도교육청_사립_고등_예산_세출_2024.csv,78048347000.0,24658846000.0,7211651000.0,3369330000.0,4356097000.0,8649719000.0,10658660000.0,212959000.0,295310602.90000004,고등
초등_합계,7223387000.0,3425955000.0,3168816000.0,789811000.0,667822000.0,864999000.0,2510000000.0,30000000.0,34350750.5,초등
고등_합계,233348770000.0,66620105000.0,20367803000.0,9914016000.0,12803961000.0,24484113000.0,21777974000.0,713255000.0,834042157.9000001,고등
중등_합계,108509023000.0,25235433000.0,8476688000.0,2729233000.0,10848518000.0,10925703000.0,3891578000.0,375343000.0,1264654782.3,중등
2023_합계,115960885000.0,31351255000.0,12617481000.0,4327188000.0,9516665000.0,12578995000.0,9347173000.0,384542000.0,715299506.4,전체
2022_합계,115478546000.0,28738902000.0,7970946000.0,4377862000.0,7307196000.0,10853077000.0,6130777000.0,400627000.0,701553079.6999999,전체
2024_합계,117641749000.0,35191336000.0,11424880000.0,4728010000.0,7496440000.0,12842743000.0,12701602000.0,333429000.0,716195104.6000001,전체
