파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
공립_초등_예산_세입_2022.csv,4448933567000,37686835000,1081766232000,0,28145948000,56340843000,5652873425000,초등
공립_초등_예산_세입_2023.csv,4851097462000,46352551000,1090648040000,0,39244577000,50924725000,6078267355000,초등
공립_초등_예산_세입_2024.csv,5177874199000,47608536000,1166768449000,0,48788429000,49266446000,6490306059000,초등
공립_고등_예산_세입_2022.csv,1688120796000,18302117000,410964723000,0,22120659000,28567811000,2168076106000,고등
공립_고등_예산_세입_2023.csv,1857440331000,21354339000,434215746000,0,26693212000,27087415000,2366791043000,고등
공립_고등_예산_세입_2024.csv,2087592553000,24604902000,469304391000,0,32093613000,22787154000,2636382613000,고등
공립_중등_예산_세입_2024.csv,2345588339000,12505505000,261242646000,0,25419146000,20696585000,2665452221000,중등
공립_중등_예산_세입_2023.csv,2131381456000,12977190000,223270368000,0,21885980000,21497662000,2411012656000,중등
공립_중등_예산_세입_2022.csv,1992391868000,11535117000,215103174000,0,16476149000,25235885000,2260742193000,중등
public_예산_세입_초등_합계,14477905228000,131647922000,3339182721000,0,116178954000,156532014000,18221446839000,초등
public_예산_세입_중등_합계,6469361663000,37017812000,699616188000,0,63781275000,67430132000,7337207070000,중등
public_예산_세입_고등_합계,5633153680000,64261358000,1314484860000,0,80907484000,78442380000,7171249762000,고등
2022_합계,8129446231000,67524069000,1707834129000,0,66742756000,110144539000,10081691724000,
2023_합계,8839919249000,80684080000,1748134154000,0,87823769000,99509802000,10856071054000,
2024_합계,9611055091000,84718943000,1897315486000,0,106301188000,92750185000,11792140893000,
