파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
강원특별자치도교육청_공립_중등_결산_세입_2022.csv,877409148.7671233,4772824.452054795,30762701.438356165,0.0,2888043.4109589043,32845912.90410959,중등
강원특별자치도교육청_공립_중등_결산_세입_2023.csv,954805702.6206896,3842744.3586206897,33896100.551724136,0.0,4411316.013793103,8570755.179310344,중등
강원특별자치도교육청_공립_중등_결산_세입_2024.csv,925882613.862069,6146999.862068965,41567099.37931035,0.0,7010365.165517242,6959302.124137931,중등
강원특별자치도교육청_공립_고등_결산_세입_2024.csv,2202983935.9574466,102352701.57446809,147342312.34042552,0.0,30259539.989361703,45342201.82978723,고등
강원특별자치도교육청_공립_고등_결산_세입_2022.csv,1961589180.0,81025465.17021276,107900304.36170213,0.0,14605157.617021276,145962865.4893617,고등
강원특별자치도교육청_공립_고등_결산_세입_2023.csv,1959122617.7659574,83033412.55319148,129096929.57446809,0.0,18578263.882978722,103835643.39361702,고등
강원특별자치도교육청_공립_초등_결산_세입_2024.csv,938311033.102493,8585101.468144044,52095249.83379501,0.0,6761350.864265928,7841607.299168975,초등
강원특별자치도교육청_공립_초등_결산_세입_2023.csv,936972981.8130312,10980271.422096318,47485482.436260626,0.0,4241230.011331445,11907378.339943342,초등
강원특별자치도교육청_공립_초등_결산_세입_2022.csv,965626132.2096317,11527094.4305949,35778225.41643059,0.0,2733174.0679886686,45282511.985835694,초등
중등_평균,919365821.7499608,4920856.224248149,35408633.78979688,0.0,4769908.196756416,16125323.402519288,중등
고등_평균,2041231911.2411346,88803859.76595744,128113182.09219857,0.0,21147653.829787236,98380236.90425532,고등
초등_평균,946970049.0417186,10364155.773611754,45119652.56216208,0.0,4578584.981195346,21677165.87498267,초등
