파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
강원특별자치도교육청_공립_고등_결산_세출_2023.csv,4633976280.0,54039371264.0,41099735825.0,28125133373.0,36058168672.0,29064010818.0,9152863730.0,9169713940.0,1265289808.8,고등
강원특별자치도교육청_공립_고등_결산_세출_2022.csv,3824632900.0,54165737784.0,38761017944.0,24938640599.0,40294812446.0,26576060132.0,12378555636.0,6540620833.0,1197838235.5,고등
강원특별자치도교육청_공립_고등_결산_세출_2024.csv,5670846110.0,56661330469.0,43981149723.0,32558090496.0,34471129068.0,34419744677.0,11844015560.0,8733697295.0,1646389672.1000001,고등
강원특별자치도교육청_공립_중등_결산_세출_2024.csv,5443245070.0,37718279190.0,29363061996.0,13581760861.0,20144796674.0,28009087170.0,4425893800.0,2999455931.0,1854848607.6,중등
강원특별자치도교육청_공립_중등_결산_세출_2023.csv,4657485350.0,38438334400.0,29831096783.0,14446166752.0,24967356056.0,23150420426.0,4541182380.0,4783362090.0,1804826551.1,중등
강원특별자치도교육청_공립_중등_결산_세출_2022.csv,3970445460.0,37462631978.0,26884361854.0,13924759776.0,26049508812.0,21877679293.0,4624862220.0,2459386910.0,1653751381.8000002,중등
강원특별자치도교육청_공립_초등_결산_세출_2022.csv,4794599406.0,82655837758.0,70550262979.0,53472430469.0,74921000181.0,57050073661.0,17081709170.0,9785370660.0,4623586090.9,초등
강원특별자치도교육청_공립_초등_결산_세출_2023.csv,6222824965.0,83270529790.0,69427719739.0,55677395101.0,60052875819.0,57112814329.0,11734597310.0,10763635139.0,4439947321.4,초등
강원특별자치도교육청_공립_초등_결산_세출_2024.csv,6945791465.0,83199431599.0,74466380095.0,58751854535.0,47745831937.0,72720729836.0,10475125270.0,7609166684.0,5155565761.6,초등
고등_합계,14129455290.0,164866439517.0,123841903492.0,85621864468.0,110824110186.0,90059815627.0,33375434926.0,24444032068.0,4109517716.4000006,고등
중등_합계,14071175880.0,113619245568.0,86078520633.0,41952687389.0,71161661542.0,73037186889.0,13591938400.0,10242204931.0,5313426540.5,중등
초등_합계,17963215836.0,249125799147.0,214444362813.0,167901680105.0,182719707937.0,186883617826.0,39291431750.0,28158172483.0,14219099173.9,초등
2023_합계,15514286595.0,175748235454.0,140358552347.0,98248695226.0,121078400547.0,109327245573.0,25428643420.0,24716711169.0,7510063681.299999,전체
2022_합계,12589677766.0,174284207520.0,136195642777.0,92335830844.0,141265321439.0,105503813086.0,34085127026.0,18785378403.0,7475175708.2,전체
2024_합계,18059882645.0,177579041258.0,147810591814.0,104891705892.0,102361757679.0,135149561683.0,26745034630.0,19342319910.0,8656804041.3,전체
