파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
강원특별자치도교육청_공립_고등_예산_세입_2024.csv,948575436.1702127,37712648.93617021,155854308.5106383,0.0,10896148.936170213,6377202.127659574,고등
강원특별자치도교육청_공립_고등_예산_세입_2022.csv,761065255.3191489,29584723.40425532,174834117.0212766,0.0,6029851.063829787,15039521.276595745,고등
강원특별자치도교육청_공립_고등_예산_세입_2023.csv,885516127.6595745,34886319.14893617,174979680.85106382,0.0,9310882.978723405,7522276.595744681,고등
강원특별자치도교육청_공립_초등_예산_세입_2024.csv,484336573.40720224,2982750.692520776,54042556.7867036,0.0,3476958.4487534626,3799437.6731301937,초등
강원특별자치도교육청_공립_초등_예산_세입_2022.csv,356151682.9268293,2574149.051490515,52484333.333333336,0.0,1617994.5799457994,4680189.701897019,초등
강원특별자치도교육청_공립_초등_예산_세입_2023.csv,441956269.2307692,2693282.967032967,56621840.65934066,0.0,2645697.8021978023,3642728.021978022,초등
강원특별자치도교육청_공립_중등_예산_세입_2024.csv,520330986.20689654,887655.1724137932,37153400.0,0.0,3734924.1379310344,3004944.827586207,중등
강원특별자치도교육청_공립_중등_예산_세입_2022.csv,384763006.84931505,824123.2876712328,32380773.97260274,0.0,1731150.6849315069,4198089.04109589,중등
강원특별자치도교육청_공립_중등_예산_세입_2023.csv,478366000.0,671268.9655172414,34798758.62068965,0.0,2719089.6551724137,2664075.8620689656,중등
고등_평균,865052273.0496454,34061230.4964539,168556035.4609929,0.0,8745627.65957447,9646333.333333334,고등
초등_평균,427481508.52160025,2750060.9036814193,54382910.25979253,0.0,2580216.943632355,4040785.1323350784,초등
중등_평균,461153331.01873714,794349.1418674225,34777644.19776413,0.0,2728388.1593449847,3289036.576917021,중등
