파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
경기도교육청_공립_초등_결산_세입_2023.csv,1653130685.9713855,15838687.221385542,168596476.33283132,0.0,9295381.776355421,51558233.3998494,초등
경기도교육청_공립_초등_결산_세입_2022.csv,1594520268.371407,21545416.67170953,80086641.10816944,0.0,6635165.158850227,154080117.92738277,초등
경기도교육청_공립_초등_결산_세입_2024.csv,1720133612.530928,14463495.61119293,201771687.9234168,0.0,13271446.094992636,48325237.77687776,초등
경기도교육청_공립_고등_결산_세입_2022.csv,2309528821.2285714,32241160.094285715,164028598.7142857,0.0,18913324.65714286,155504972.89714286,고등
경기도교육청_공립_고등_결산_세입_2023.csv,2436384978.945869,21373025.75783476,191255678.4900285,0.0,23397605.680911683,83946008.4928775,고등
경기도교육청_공립_중등_결산_세입_2024.csv,1862025872.4268503,15398907.69363167,96748882.71600689,0.0,15805948.865748709,51526524.50430293,중등
경기도교육청_공립_고등_결산_세입_2024.csv,2630239880.734463,21244780.27966102,285551477.9717514,0.0,32547194.991525423,90238522.51694915,고등
경기도교육청_공립_중등_결산_세입_2023.csv,1756080642.6672473,12342133.31010453,76666276.53310105,0.0,11226834.18641115,47431843.50174216,중등
경기도교육청_공립_중등_결산_세입_2022.csv,1578924418.9594357,10650296.137566138,61717751.30511464,0.0,8478300.419753086,125718929.43386243,중등
초등_평균,1655928188.9579067,17282533.168096002,150151601.7881392,0.0,9733997.676732762,84654529.70136999,초등
고등_평균,2458717893.636301,24952988.71059383,213611918.3920219,0.0,24952708.44319332,109896501.30232318,고등
중등_평균,1732343644.6845112,12797112.38043411,78377636.85140753,0.0,11837027.823970983,74892432.47996917,중등
