파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
경기도교육청_공립_고등_예산_세출_2022.csv,27357262000.0,307349147000.0,62299451000.0,32577295000.0,29870823000.0,126012746000.0,1224375000.0,1356069000.0,980279638.1,고등
경기도교육청_공립_고등_예산_세출_2023.csv,5442782000.0,343439812000.0,92920432000.0,31054546000.0,33639380000.0,133549750000.0,479838000.0,739353000.0,1053964677.0,고등
경기도교육청_공립_고등_예산_세출_2024.csv,4865635000.0,393914108000.0,135070828000.0,36067196000.0,38936068000.0,156099603000.0,3032989000.0,389531000.0,1244345409.1000001,고등
경기도교육청_공립_중등_예산_세출_2024.csv,4767897000.0,437615149000.0,110654071000.0,30092812000.0,39985972000.0,188373019000.0,2407132000.0,64285000.0,1817723095.4,중등
경기도교육청_공립_중등_예산_세출_2023.csv,5160415000.0,384890332000.0,88531521000.0,27800907000.0,37063637000.0,158636186000.0,1404264000.0,416405000.0,1568399470.5,중등
경기도교육청_공립_중등_예산_세출_2022.csv,30082776000.0,349511498000.0,67529772000.0,27901964000.0,33124421000.0,147630737000.0,1515332000.0,2097467000.0,1387275495.6999998,중등
경기도교육청_공립_초등_예산_세출_2022.csv,64091716000.0,667548711000.0,154166205000.0,267174015000.0,62132299000.0,326293605000.0,3409603000.0,2599056000.0,3871758559.7,초등
경기도교육청_공립_초등_예산_세출_2023.csv,11183807000.0,734381720000.0,200451165000.0,286149339000.0,73453505000.0,370248666000.0,3711441000.0,1541120000.0,4624836718.7,초등
경기도교육청_공립_초등_예산_세출_2024.csv,10537032000.0,820366825000.0,205319315000.0,301702322000.0,80440956000.0,437671916000.0,5315742000.0,889971000.0,5542920749.1,초등
고등_합계,37665679000.0,1044703067000.0,290290711000.0,99699037000.0,102446271000.0,415662099000.0,4737202000.0,2484953000.0,3278589724.2,고등
중등_합계,40011088000.0,1172016979000.0,266715364000.0,85795683000.0,110174030000.0,494639942000.0,5326728000.0,2578157000.0,4773398061.6,중등
초등_합계,85812555000.0,2222297256000.0,559936685000.0,855025676000.0,216026760000.0,1134214187000.0,12436786000.0,5030147000.0,14039516027.5,초등
2022_합계,121531754000.0,1324409356000.0,283995428000.0,327653274000.0,125127543000.0,599937088000.0,6149310000.0,6052592000.0,6239313693.5,전체
2023_합계,21787004000.0,1462711864000.0,381903118000.0,345004792000.0,144156522000.0,662434602000.0,5595543000.0,2696878000.0,7247200866.2,전체
2024_합계,20170564000.0,1651896082000.0,451044214000.0,367862330000.0,159362996000.0,782144538000.0,10755863000.0,1343787000.0,8604989253.6,전체
