파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
경상남도교육청_공립_고등_결산_세입_2024.csv,307721631610,5732893120,37652328410,0,4075215605,5413013156,고등
경상남도교육청_공립_고등_결산_세입_2023.csv,290129168650,5634031570,29882039400,0,3176253262,6528873035,고등
경상남도교육청_공립_고등_결산_세입_2022.csv,244618697709,4910760270,26892436840,0,2039623273,8632881009,고등
경상남도교육청_공립_초등_결산_세입_2024.csv,842924288186,4390686530,81200091220,0,4061989789,7079653407,초등
경상남도교육청_공립_초등_결산_세입_2022.csv,717155119682,6095670270,60620333921,0,2119096534,8602386980,초등
경상남도교육청_공립_초등_결산_세입_2023.csv,773677012455,4938627218,70185650064,0,3049629212,8372353889,초등
경상남도교육청_공립_중등_결산_세입_2024.csv,305944452390,1926541130,19477730610,0,1682149076,2394133004,중등
경상남도교육청_공립_중등_결산_세입_2022.csv,256790009310,2046327960,13598996215,0,1031139364,4190578255,중등
경상남도교육청_공립_중등_결산_세입_2023.csv,276697530390,1586781070,15076510620,0,1526331750,2556800886,중등
고등_합계,842469497969,16277684960,94426804650,0,9291092140,20574767200,고등
초등_합계,2333756420323,15424984018,212006075205,0,9230715535,24054394276,초등
중등_합계,839431992090,5559650160,48153237445,0,4239620190,9141512145,중등
2024_합계,1456590372186,12050120780,138330150240,0,9819354470,14886799567,전체
2023_합계,1340503711495,12159439858,115144200084,0,7752214224,17458027810,전체
2022_합계,1218563826701,13052758500,101111766976,0,5189859171,21425846244,전체
