파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
경상남도교육청_공립_고등_예산_세입_2024.csv,206316238000.0,2936824000.0,46621182000.0,0.0,2286922000.0,920773000.0,고등,114
경상남도교육청_공립_고등_예산_세입_2023.csv,183905214000.0,2954658000.0,44506186000.0,0.0,2232219000.0,1076574000.0,고등,114
경상남도교육청_공립_고등_예산_세입_2022.csv,163026753000.0,2483898000.0,40593483000.0,0.0,1766282000.0,1427006000.0,고등,112
경상남도교육청_공립_초등_예산_세입_2024.csv,647025924000.0,2676099000.0,104518255000.0,0.0,2511508000.0,3540721000.0,초등,522
경상남도교육청_공립_초등_예산_세입_2023.csv,603207266000.0,2228197000.0,101586257000.0,0.0,1962681000.0,3787243000.0,초등,522
경상남도교육청_공립_초등_예산_세입_2022.csv,527999357000.0,2135023000.0,103585872000.0,0.0,1381491000.0,4424972000.0,초등,523
경상남도교육청_공립_중등_예산_세입_2024.csv,255104690000.0,957047000.0,24564931000.0,0.0,1048904000.0,1052374000.0,중등,191
경상남도교육청_공립_중등_예산_세입_2023.csv,225970335000.0,910118000.0,22834016000.0,0.0,942408000.0,1141850000.0,중등,191
경상남도교육청_공립_중등_예산_세입_2022.csv,202680141000.0,745553000.0,20544786000.0,0.0,640829000.0,1429566000.0,중등,190
고등_평균,184541887835.29413,2793604482.352941,43926441317.64706,0.0,2097075464.7058823,1139771264.7058823,고등,340
초등_평균,592702864640.0765,2346304748.564135,103230355022.33568,0.0,1951529324.1863434,3917969089.980855,초등,1567
중등_평균,227962511477.27274,871125148.6013986,22651587791.958042,0.0,877793884.6153846,1207542524.4755244,중등,572
전체_평균,452563205857.2005,2067272549.4150867,76504100276.32109,0.0,1723739496.1678095,2911534537.3134327,전체,2479
