파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
경상남도교육청_공립_고등_예산_세출_2022.csv,5185516000.0,115731080000.0,22020201000.0,15137230000.0,13071931000.0,35552992000.0,2080108000.0,518364000.0,714762611.3,고등,112
경상남도교육청_공립_고등_예산_세출_2023.csv,5718900000.0,126388891000.0,28674527000.0,16562177000.0,15570722000.0,39685269000.0,1492437000.0,581928000.0,829614118.9,고등,114
경상남도교육청_공립_고등_예산_세출_2024.csv,2494833000.0,137163961000.0,37177774000.0,17020533000.0,17029003000.0,46312300000.0,1317189000.0,566346000.0,907442454.9,고등,114
경상남도교육청_공립_중등_예산_세출_2022.csv,7241725000.0,120491310000.0,26789285000.0,11563455000.0,18164386000.0,40433405000.0,916594000.0,440715000.0,1079525038.6,중등,190
경상남도교육청_공립_중등_예산_세출_2023.csv,7659191000.0,133319983000.0,30367694000.0,13687220000.0,20070329000.0,45042123000.0,1149965000.0,502222000.0,1286389512.4,중등,191
경상남도교육청_공립_중등_예산_세출_2024.csv,4314217000.0,143752848000.0,38672478000.0,15394261000.0,27741408000.0,51118994000.0,1177109000.0,556631000.0,1501357729.7,중등,191
경상남도교육청_공립_초등_예산_세출_2022.csv,16197125000.0,245054083000.0,88533330000.0,139398372000.0,46991100000.0,99578430000.0,2534123000.0,1240152000.0,4630326448.8,초등,523
경상남도교육청_공립_초등_예산_세출_2023.csv,17917523000.0,272215617000.0,98689233000.0,150653448000.0,53811919000.0,112608623000.0,5510745000.0,1364536000.0,5482772697.7,초등,522
경상남도교육청_공립_초등_예산_세출_2024.csv,10969687000.0,277945283000.0,112941371000.0,172167918000.0,57981208000.0,123137681000.0,3754150000.0,1375209000.0,6533758798.4,초등,522
고등_평균,4462186335.294118,126490900258.82353,29333602429.411766,16246466764.705883,15236543888.235294,40546052852.94118,1627263117.6470587,555764717.6470588,817876064.3494117,고등,340
중등_평균,6403581604.895105,132542411924.82518,31952162590.909092,13551782029.72028,21998732704.545456,45540420099.65035,1081510479.020979,499959393.3566434,1289457133.8725526,중등,572
초등_평균,15028857686.662413,265058886540.5233,100047292200.3829,154063881051.69113,52924286913.848114,111767128001.27632,3932113285.896618,1326577144.862795,5548366415.881684,초등,1567
전체_평균,11589436073.82009,215477386413.0698,74636615048.81,102740427442.11375,40619627923.75958,86717978154.49779,2958255334.0056477,1030126326.3412666,3916876771.3354173,전체,2479
