파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
광주광역시교육청_공립_고등_결산_세출_2024.csv,2378640956.0,28979914639.0,22100673770.0,14392131422.0,11684295125.0,13864057126.0,10797936329.0,1899663104.0,219558456.1,고등,25
광주광역시교육청_공립_고등_결산_세출_2023.csv,1937626597.0,27952153786.0,23100519756.0,12957734010.0,14007015728.0,13513184832.0,12477820263.0,2216596250.0,216831965.3,고등,25
광주광역시교육청_공립_고등_결산_세출_2022.csv,2098409510.0,23524850628.0,20328170172.0,8441086569.0,13770813458.0,15413955935.0,7023264940.0,942563965.0,184497976.50000003,고등,25
광주광역시교육청_공립_초등_결산_세출_2024.csv,11863895335.0,75753223565.0,43132184424.0,51473944814.0,22968140506.0,41314458524.0,248258300.0,706386081.0,686564207.9,초등,152
광주광역시교육청_공립_초등_결산_세출_2022.csv,10431798595.0,66852768536.0,30529386844.0,41977078287.0,22724037606.0,37939047073.0,501271276.0,191785940.0,551008446.5,초등,151
광주광역시교육청_공립_초등_결산_세출_2023.csv,10286602243.0,77017398464.0,40013492629.0,45399261080.0,26088979234.0,39004082370.0,701117670.0,100574900.0,657455024.7,초등,151
광주광역시교육청_공립_중등_결산_세출_2024.csv,3870889351.0,40887669906.0,16757838938.0,7247841597.0,13826261843.0,18273218392.0,424645330.0,52791430.0,250746681.4,중등,67
광주광역시교육청_공립_중등_결산_세출_2023.csv,3002621200.0,38402798300.0,14926081748.0,6994971741.0,13312102972.0,16692874238.0,301613970.0,53318030.0,237532645.9,중등,67
광주광역시교육청_공립_중등_결산_세출_2022.csv,3265854237.0,34074980983.0,12465635693.0,6924883287.0,11682567425.0,15408043569.0,171709960.0,64745240.0,214186492.29999998,중등,67
고등_평균,2138225687.6666667,26818973017.666668,21843121232.666668,11930317333.666666,13154041437.0,14263732631.0,10099673844.0,1686274439.6666667,206962799.3,고등,75
초등_평균,10862974928.321587,73213403521.76212,37903230909.407486,46294860916.61894,23924940307.823788,39423370576.0815,483030820.3656388,333738262.4493392,631796792.4052863,초등,454
중등_평균,3379788262.6666665,37788483063.0,14716518793.0,7055898875.0,12940310746.666666,16791378733.0,299323086.6666667,56951566.666666664,234155273.2,중등,201
전체_평균,7906157513.464383,58692867494.33973,29868933154.40274,31960104561.70548,19793806120.00959,30606927827.669865,1420459549.5424657,396486327.4342466,478661867.96260273,전체,730
