파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
대구광역시교육청_공립_중등_결산_세입_2024.csv,135625525316,2113385170,8959571230,0,2181876868,1064884229,중등
대구광역시교육청_공립_초등_결산_세입_2023.csv,318131432469,2280633950,41292184418,0,3712160573,7307170147,초등
대구광역시교육청_공립_초등_결산_세입_2022.csv,291778640039,2465925140,39268791110,0,1888669018,4863745772,초등
대구광역시교육청_공립_중등_결산_세입_2023.csv,142499657980,2064039350,8152113210,0,1534151110,3764571749,중등
대구광역시교육청_공립_중등_결산_세입_2022.csv,138776314010,3139625083,8798062725,0,990460573,6236397909,중등
대구광역시교육청_공립_초등_결산_세입_2024.csv,306683363435,2577490467,48102638819,0,4649685859,2064969382,초등
대구광역시교육청_공립_고등_결산_세입_2022.csv,117545328120,4795832110,12837249265,0,1249718231,7740191238,고등
대구광역시교육청_공립_고등_결산_세입_2023.csv,123836084690,3196376009,12138444090,0,1801081793,5936557046,고등
대구광역시교육청_공립_고등_결산_세입_2024.csv,122439284720,3418456252,17118544228,0,2690350787,3719138690,고등
중등_합계,416901497306,7317049603,25909747165,0,4706488551,11065853887,중등
초등_합계,916593435943,7324049557,128663614347,0,10250515450,14235885301,초등
고등_합계,363820697530,11410664371,42094237583,0,5741150811,17395886974,고등
2024_합계,564748173471,8109331889,74180754277,0,9521913514,6848992301,전체
2023_합계,584467175139,7541049309,61582741718,0,7047393476,17008298942,전체
2022_합계,548100282169,10401382333,60904103100,0,4128847822,18840334919,전체
