파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
부산광역시교육청_공립_고등_예산_세출_2024.csv,2637257000.0,73558551000.0,31709079000.0,11171512000.0,9168897000.0,22232319000.0,403720000.0,90243000.0,321659635.99999994,고등,66
부산광역시교육청_공립_고등_예산_세출_2023.csv,2535330000.0,68607605000.0,37874013000.0,12669427000.0,16574313000.0,26470732000.0,1505313000.0,244280000.0,354841812.20000005,고등,66
부산광역시교육청_공립_고등_예산_세출_2022.csv,5733359000.0,65437882000.0,27771101000.0,12824620000.0,15322760000.0,22085038000.0,200888000.0,163891000.0,309964538.4,고등,66
부산광역시교육청_공립_중등_예산_세출_2024.csv,1226688000.0,101295267000.0,27965452000.0,10389473000.0,11472538000.0,29673968000.0,213145000.0,137139000.0,424445983.0,중등,135
부산광역시교육청_공립_중등_예산_세출_2023.csv,929543000.0,97338510000.0,29745930000.0,11912233000.0,25516798000.0,34121418000.0,526726000.0,181735000.0,476738245.29999995,중등,135
부산광역시교육청_공립_중등_예산_세출_2022.csv,4453416000.0,86921022000.0,28594318000.0,12390372000.0,27089045000.0,29374688000.0,172290000.0,400053000.0,447963921.6,중등,135
부산광역시교육청_공립_초등_예산_세출_2024.csv,3385863000.0,211533207000.0,55801226000.0,111975594000.0,24622771000.0,62165055000.0,617306000.0,322526000.0,1398155990.3,초등,298
부산광역시교육청_공립_초등_예산_세출_2023.csv,2692655000.0,211160801000.0,68794230000.0,133109667000.0,47947348000.0,77989372000.0,834736000.0,520064000.0,1647026451.8,초등,299
부산광역시교육청_공립_초등_예산_세출_2022.csv,9211408000.0,191416523000.0,62275309000.0,130244282000.0,46500326000.0,67487671000.0,379586000.0,1069006000.0,1467625542.8000002,초등,298
고등_평균,3635315333.3333335,69201346000.0,32451397666.666668,12221853000.0,13688656666.666666,23596029666.666668,703307000.0,166138000.0,328821995.5333333,고등,198
중등_평균,2203215666.6666665,95184933000.0,28768566666.666668,11564026000.0,21359460333.333332,31056691333.333332,304053666.6666667,239642333.33333334,449716049.96666664,중등,405
초등_평균,5093955981.005587,204710725183.24023,62297522011.17319,125118786012.2905,39699374254.748604,69223837515.0838,610793162.0111731,637067789.9441341,1504428833.4659219,초등,895
전체_평균,4119616411.2149534,157188159821.0948,49287669184.24566,79495774969.95995,31302987592.12283,52874037676.902534,540091055.4072096,467373925.9012016,1063888892.7263685,전체,1498
